,UKESM1-0-LL-r1i1p1f2,IPSL-CM6A-LR-r1i1p1f1,UKESM1-0-LL-r3i1p1f2,UKESM1-0-LL-r2i1p1f2,ACCESS-ESM1-5-r1i1p1f1,UKESM1-0-LL-r8i1p1f2,UKESM1-0-LL-r4i1p1f2,GFDL-ESM4-r1i1p1f1,CanESM5-r1i1p1f1
1993-01-01,8.363525517564955,9.466546062035423,8.924648258105295,10.079825262368134,9.029800706323224,9.478743932696004,9.219244186776741,9.676434482858431,10.035525219625853
1993-02-01,7.723939089686985,8.818290117741082,8.599700266284628,8.988276775524808,7.928849283591576,9.608723273672098,8.729563008753908,8.866980447380172,10.463441019764836
1993-03-01,7.711819525015705,7.991371782633215,9.574371781601123,9.062450259008566,7.861429277033173,9.694547393000867,9.111227335754137,9.529407203065798,9.672927605209853
1993-04-01,8.424718447263704,8.087951050996143,10.716859866579394,9.306074119554061,7.677954497688954,10.611193366472847,9.217941196804126,10.54067515031149,9.994696334294712
1993-05-01,11.056857758903053,10.730100264484342,11.992896639742822,11.422385117966044,9.16657766393395,11.930729322437944,11.332299611802936,12.044084512454695,10.677002761398741
1993-06-01,12.241408468347787,12.267660331952648,13.410256853539787,13.139039732141075,11.326697933840778,13.445619219642394,12.248991452631245,13.424343596755918,12.683043083568286
1993-07-01,13.970366543653192,13.71173837635956,16.17655295991075,14.968256481378148,13.514740103961476,14.276573879101784,13.857637890968116,14.377772562962914,13.652891743839978
1993-08-01,13.337412447637453,15.526124730880804,16.65653458859698,14.699882444749976,14.188587854374395,14.490925099017488,13.93599546666733,14.229001035745473,14.105868137544917
1993-09-01,12.907169688895438,14.846747691989783,15.465911444607734,14.093978444023476,13.23847189009225,13.446823760595107,13.816779333320731,13.156756489486522,14.372701680856249
1993-10-01,11.286822037342976,14.175568447294806,14.888719758594053,12.572266862589707,12.171922377429668,12.618770892289696,13.376570772710162,12.255901585692325,13.325273916655078
1993-11-01,10.67478308862176,11.8711786750757,13.296066155972495,11.105152707566528,9.783650016836107,10.871691277627098,11.525610326191313,10.01733573236532,11.690718137107666
1993-12-01,9.347940108568721,9.152073573430613,11.41373607437852,10.472670678735447,8.361880760611593,8.118002658227773,9.677478216476093,8.967445766248614,10.495832697455688
1994-01-01,8.888099710741601,7.512550334777987,10.693111098889837,9.987911502914155,7.804643300849082,7.5399907017926955,8.919482808915967,9.263282313680731,9.832770097055821
1994-02-01,8.960498552592204,8.075633544969918,10.311959204714537,9.343187088574092,7.663521904787941,8.942700435925682,8.415378985753389,9.456434272501374,9.601080117392979
1994-03-01,9.720967669658329,8.879221005811663,9.726122856956746,9.241490681902878,7.750547265989763,9.85718965354124,8.724607015691817,9.93244113698724,10.092051014953132
1994-04-01,11.401485074379293,9.823954235654382,9.65702674525511,10.012534249810038,8.469807508837697,11.633134689439585,10.000118403711582,11.467900236529708,10.423065277552796
1994-05-01,14.249457526870227,12.30855554979284,11.514693606830125,11.517687955091837,10.648303192601443,11.709165420906356,11.612695998267247,13.861448386264918,11.870329816571047
