,UKESM1-0-LL-r1i1p1f2,IPSL-CM6A-LR-r1i1p1f1,UKESM1-0-LL-r3i1p1f2,UKESM1-0-LL-r2i1p1f2,ACCESS-ESM1-5-r1i1p1f1,UKESM1-0-LL-r8i1p1f2,UKESM1-0-LL-r4i1p1f2,GFDL-ESM4-r1i1p1f1,CanESM5-r1i1p1f1
1993-01-01,8.758803581632856,9.395499397132012,8.735026932212858,9.939323946616042,9.066978714297866,9.490855928737533,8.739464849955692,9.576993781229431,10.259262104435217
1993-02-01,7.048308961693747,8.792530164182539,8.876812299099713,8.936975901654503,8.251247497418555,9.485631235249414,8.576725648691216,8.91255630450568,10.5507752080602
1993-03-01,8.125826031690485,8.171458648054337,9.880291996892852,8.865505362514979,7.399928226166082,9.650576008397744,8.954963179437984,9.753838114264822,10.029010275425314
1993-04-01,8.115552185716567,8.779888059098619,10.971510112348245,9.441220623168748,7.227080177231906,10.830718899064317,9.31654843397068,10.486337806554824,10.022751916550632
1993-05-01,10.644562402511806,10.797618323953388,12.1706866027073,11.189374624997539,8.420690618754389,11.489576487826623,10.99841599699449,11.713487087201164,10.617333599702153
1993-06-01,11.389355070487074,11.580147098811473,13.228074682596633,12.072563775984008,9.172800209405516,12.428004815983982,11.525753927317448,12.758883527218654,11.889126235425719
1993-07-01,11.587632973308294,11.788176854365089,14.727993771293573,13.045391810424455,10.17885614484032,12.137492909309175,12.040039986340119,11.71919302722149,11.67362611319725
1993-08-01,10.530842903923428,12.643652554236743,14.085304345904946,11.636673736665125,10.669135531321972,11.966471692128225,11.543553971442973,11.740344907438425,11.373131557108714
1993-09-01,9.925718813196614,12.529686001885695,13.80557073388762,12.169377352481638,9.975415567132158,11.753141502440435,11.986129838953357,10.854329660356624,12.334372557347123
1993-10-01,9.701036508809633,12.849888533138385,13.864099804276874,11.65749477336425,10.468704953361524,11.645512062674653,12.33778088469712,11.008455539388976,12.135514762423952
1993-11-01,10.529078623899787,11.410246581398326,12.766392814502106,10.463806570750057,9.7117744783254,10.441387993559026,11.294773308878698,9.628859799103877,11.244091419408038
1993-12-01,9.071248758270514,8.87153068301197,10.564624022632849,10.312002112960592,8.516085041229761,7.3533326258081875,9.302386569394308,8.771604011842397,10.822600061147073
1994-01-01,8.716122592496127,8.209666317622037,9.58861458384948,10.0648287958939,7.163981409933275,8.179371773404501,8.716777558656233,9.30022777602641,10.387767973373732
1994-02-01,9.030608140675943,8.452957550400939,9.495195321555233,9.266982601313776,7.2184825350671575,9.167965781047787,8.315971283231505,9.676972549680757,9.70648201935528
1994-03-01,10.019779097619075,8.759448739555259,9.285645023820619,9.081969888597175,7.832634635228102,10.544429770780543,8.66561613412189,9.676566191166923,10.105416461859301
1994-04-01,11.65443621490954,10.036235078070996,9.575915087497394,10.046514714865646,8.870361686041443,12.272457019911599,9.867585004222734,11.641872584246874,10.77971002769003
1994-05-01,14.290836365430515,11.973239211822404,11.122560486663334,11.241585614207015,10.248330506129877,11.88446752599408,11.606842973581765,14.113045866074117,11.75365015522187
1994-06-01,14.633425995854898,12.03846607616246,11.853280889370986,11.970758935618123,12.027973745088852,12.486706354787259,12.583870093074895,13.289308348453048,12.47770706860638
1994-07-01,14.689019128047038,11.097494186212176,11.994012165436148,12.535522008853322,11.053933113119598,12.464124303012598,12.354181275714964,11.921926825922046,11.915784273461483
1994-08-01,14.498632508337755,11.916332838419109,12.930491308057508,11.61593376274198,11.435992475795743,13.429884214855738,11.683736441877528,12.719226617037931,11.897682604731543
1994-09-01,14.619561249254847,13.156064872655651,12.660480751794882,11.883334442950527,11.957512049320405,13.309495145610194,12.147819868022935,13.181827365168333,12.364261091150832
1994-10-01,11.400654562936099,13.181518353943618,13.288721276690788,12.309201855464014,11.770505052597153,12.804735965652272,10.82675308677054,11.208646506791842,12.741566339450344
1994-11-01,10.744600927684212,11.765374692802482,11.206489956526823,10.372636811052834,10.612217291241846,11.369029960058505,9.29884543104677,10.464735017159974,10.513901998634575
1994-12-01,9.9309688249753,9.630712109983627,9.941752549410444,8.762014738057388,9.24669172240498,10.444963684831947,8.391687528644729,9.704765889228627,9.67792414555007
1995-01-01,8.990201021861994,8.968557152967056,9.063632447838714,8.322602271048925,8.765852319993753,9.870928660598922,8.396632161063554,8.614774065881177,9.950947291951422
1995-02-01,8.12734936506054,9.163592149153494,8.881397284326196,8.059675179469584,8.24257756730781,9.216246985994148,7.609358499673227,7.618761547878572,9.390517505628354
1995-03-01,7.6751698451747075,8.880873022792333,9.178463891491713,7.94913034491787,8.23123646854838,9.335165568125054,8.482048832535567,8.624887778713843,8.007962570551252
1995-04-01,8.122325879977527,9.776857805129184,9.803341666816516,8.226961320265447,8.97945307065937,9.6126122979045,8.483639193468617,8.79978973315295,8.787310290458542
1995-05-01,10.004794693571489,10.43713115941259,11.025166780666847,10.197749535822544,9.496802362665278,11.105798983775511,10.032527252860117,10.175243349266195,11.071325900272088
1995-06-01,11.660999236447358,11.666124943596072,11.777805280318331,11.794223720207643,9.345927843754492,13.413012456613655,11.622612895367935,12.156539331421008,13.338003428309834
1995-07-01,11.868548163874106,13.8034701670913,11.169652999876249,10.662787171238778,11.604420607687414,12.895591115968955,11.62479735271621,11.530456647821026,12.38733231572811
1995-08-01,12.204532361294591,11.471200399623106,10.968009414396544,12.051861696142604,11.701495089428368,11.888106154172466,12.870230318700733,12.441032749026036,12.151910071571718
1995-09-01,12.413910730366295,11.516879071630392,10.365836552220813,11.857727637708724,12.15365012824369,13.416284200804048,12.15800834342618,11.772261801674723,12.080532473777147
