,UKESM1-0-LL-r1i1p1f2,IPSL-CM6A-LR-r1i1p1f1,UKESM1-0-LL-r3i1p1f2,UKESM1-0-LL-r2i1p1f2,ACCESS-ESM1-5-r1i1p1f1,UKESM1-0-LL-r8i1p1f2,UKESM1-0-LL-r4i1p1f2,GFDL-ESM4-r1i1p1f1,CanESM5-r1i1p1f1
1993-01-01,8.095943713096455,8.790198480620566,8.1711265615061,9.304032064781813,8.488901967174538,8.962268515031955,8.134112415344813,9.102334713911118,9.632467926968955
1993-02-01,7.014497976534518,8.55515085281137,8.609481256083647,8.698726427403752,7.913528906405093,9.219475919218072,8.246475277888061,8.597000821362496,10.262546032211112
1993-03-01,7.9994056779509455,8.176660168708654,9.839691823550579,8.821806779675036,7.4716023992029905,9.575966306936252,8.974615596364991,9.62157633710285,9.893014489764777
1993-04-01,8.611831558025273,9.041902510002153,11.356817658200068,9.74217067896716,7.779082756900166,11.115402708742415,9.657786392795645,10.944973670166876,10.41277585812121
1993-05-01,10.962218378804284,11.107686869003167,12.400135291832163,11.589191593212194,8.951358752466707,11.921993918393214,11.367374609215133,12.150327141860524,10.914398949764443
1993-06-01,11.390672520024932,11.610021644506324,13.243761019161106,12.164548282800373,9.580289980668454,12.507504919999047,11.536801249416294,12.72564377567259,11.948067481871432
1993-07-01,10.738152212967849,11.045805465358546,13.918417891705973,12.193084587513175,9.691154392362526,11.455086854978028,11.132269556097755,10.687494010006406,10.835070996719793
1993-08-01,9.669553115706591,11.348952116806768,12.951486181766446,10.5850029408952,9.634024191106377,10.757210051521607,10.446806447666095,10.436843099039077,10.204384185671362
1993-09-01,9.526381595599199,11.661603999199276,13.099858946809304,11.392747955530135,9.495213120723244,10.997530689894363,11.055517024095053,9.670737860036363,11.523598738822038
1993-10-01,9.666484331000456,12.317016996713223,13.480406199190721,11.208431594452241,10.114741596799222,11.145569449084565,11.982304907016985,10.39954060867928,11.731768093281927
1993-11-01,10.103966675519132,10.923211413629453,12.345632693893759,9.967001539306072,9.13631167656122,9.989008526204357,10.925191160392762,8.936782043361351,10.89936749961235
1993-12-01,8.498187648766821,8.25510505904238,10.175637618926274,9.61828707437936,7.763563471303856,7.067219536026392,8.86925085946218,8.065401613130089,10.076425120142861
1994-01-01,8.143453203369148,7.5191760514918435,9.151544105237786,9.438342948745566,6.7965537186472735,7.6611514902989075,8.222381381513992,8.85523630103232,9.647184681576118
1994-02-01,8.831027240851219,8.134173697887157,9.315110084074481,8.945632827832318,7.055892385276072,8.94638268351467,8.009592235901033,9.328105090496056,9.343147341357573
1994-03-01,9.90581826553968,8.764398299087787,9.248481443797683,9.096457763296039,7.722574472499312,10.411050266669537,8.597358903126821,9.84294786615042,10.050379057211316
1994-04-01,11.948721460972257,10.367204629464695,9.884833039412142,10.367651959601675,9.09049234714703,12.604937986686053,10.221831697008213,12.229584391483845,11.025716552766363
1994-05-01,14.55143394357328,12.241240042058287,11.488533668070392,11.49971541936554,10.555974683748858,12.241476841360932,11.920817680961528,14.461088745011196,12.096995374911018
1994-06-01,14.788267870248324,12.072371383395948,11.871873980953193,12.077832262027021,12.017100584185613,12.735824342621383,12.646023287216591,13.452440719508116,12.576425116066105
1994-07-01,13.94800584545858,10.298342127353092,11.181064546748495,11.76215126584867,10.190442020198926,11.859041817954939,11.578897883399154,10.850785620198174,11.133531288895039
1994-08-01,13.381912224186433,10.722779173220866,11.684654286657095,10.457183142098676,10.238823689938206,12.207002532084374,10.44054592213151,11.411924882394347,10.687441477779888
