,ACCESS-ESM1-5_r2i1p1f1,CanESM5-CanOE-r1i1p2f1,UKESM1-0-LL-r2i1p1f2,UKESM1-0-LL-r1i1p1f2,ACCESS-ESM1-5-r1i1p1f1,CanESM5-CanOE-r2i1p2f1
2014-01-01,5.96256103004924,4.659414501800705,5.7110130380379545,4.391186333597076,3.7480378516923833,4.291753191214067
2014-02-01,5.999809046795478,4.721095150739731,5.50234885725066,5.118063948338495,3.3617409786433083,4.391276191500015
2014-03-01,5.950920849778317,4.909108500133036,5.613001062484541,5.290125536264085,3.222585672822704,4.398312399056142
2014-04-01,5.6932628151112645,4.6711933111972375,5.3831618720709695,5.23147286979885,3.147032312999285,4.219825176422855
2014-05-01,4.916095787945618,4.126359559795169,4.60769710355176,4.37782066532454,2.5968559439885732,3.534187054172649
2014-06-01,4.072574870865863,3.661661121852856,4.115016053223311,3.802839132372789,2.192127197336982,2.9123715639253063
2014-07-01,3.586906867396524,3.0973924494728147,3.678934986033442,3.1937366189206324,1.9311517265670688,2.422819873462699
2014-08-01,3.4916787471604267,2.8512553308776964,3.423328728929484,2.790287624711594,1.6695148783887694,2.1904490363293747
2014-09-01,3.3535125658474167,2.821769473671791,3.3167756747784285,2.774670888665709,1.4100148434793611,2.0885970126573787
2014-10-01,3.3371810886726947,3.119635119586228,3.3614686740703275,3.0351241944683522,1.2744791548833805,2.095528993827153
2014-11-01,4.100874452455097,3.8407212346067854,4.547085505580308,3.7124401981307913,2.184278159276273,2.629890673299538
2014-12-01,4.929528930918882,4.499336386600024,6.100756948682977,5.214003573792759,2.99478047650562,4.35786940373256
2015-01-01,5.365191390376928,5.128794715398465,6.162522765026091,5.4147974971894275,3.384885320060375,4.909263522665131
2015-02-01,5.387452561060676,5.647172583190585,5.9508499961667525,5.1280510125377585,3.1766220094748445,4.865808544826773
2015-03-01,5.345353610335311,5.650363083918713,5.415747533746639,4.915636000269728,3.4255563083193152,5.012354305859478
2015-04-01,5.054259203061374,5.376686028557391,5.287186684642795,4.418576921589452,3.221415067297533,5.051716766440237
2015-05-01,4.487330942348279,4.80382184410909,4.722267708769848,3.721549191830257,2.765094012619873,4.2685450659430115
2015-06-01,3.8624750760958304,4.312341504233768,3.8648829009208026,3.1737484026444496,2.2619076292201266,3.8832644268790677
2015-07-01,3.4430449053354635,3.875425389698364,3.0816160408114888,2.522576427306146,1.842238613528548,3.4158825481316537
2015-08-01,3.4466465642280215,3.6145243746560656,2.7492056866988843,2.3151379457006374,1.481090473762809,3.066988808316217
2015-09-01,3.3980460108023136,3.4206367680522067,2.755707339652127,2.3060667837374016,1.3332005948973134,2.8718262658430427
2015-10-01,3.4344095905654015,3.3850189948443847,2.9082981663247782,2.5461708874486364,1.4971248545720757,2.6843303521755124
2015-11-01,4.160014816288018,4.095909565602343,3.65284625218228,3.5288271880220896,2.500038175054541,3.532107052564685
2015-12-01,4.8612433661756125,4.6326728751453725,4.039771715293494,4.238924092200359,3.1478151018055174,4.662333952222237
2016-01-01,5.380273334565579,5.0504657442589345,4.6825685431373945,5.5575089915172144,4.248230896338473,5.384394416969842
2016-02-01,5.433376980548776,5.392859114157476,5.287925971871922,5.530688946228113,4.9730986938883435,5.09114908955073
2016-03-01,5.397635612466068,5.298408091172265,5.086058805952876,5.4795850384796845,4.786184786555712,4.698635003182635
2016-04-01,5.222730972610127,4.860204305634384,4.877198012858786,5.256825717045073,4.1712589738118195,4.447344321103058
2016-05-01,4.566375682501206,4.140837242711228,3.919393938970877,4.739205924404164,3.3248815336818702,3.6864467259920213
2016-06-01,4.089650499239787,3.6596052532706054,3.0818726218753465,4.302598631844116,2.57180201361857,3.170833035086327
2016-07-01,3.6133320404945564,3.3195503719986017,2.465561927975136,3.869194893057568,1.985943512177555,2.6877961274546815
2016-08-01,3.5051002607932586,3.120002420328248,2.362136463383455,3.707947175196073,1.8271643258547865,2.411519395061103
2016-09-01,3.4374133749429947,3.0532306147204675,2.238203675001053,3.562353527033898,1.7432437093877104,2.354732727787183
2016-10-01,3.4505437523812987,2.869781810088807,2.493179822223872,3.687579716205574,1.996575682433672,2.4791643875223293
