,ACCESS-ESM1-5_r2i1p1f1,CanESM5-CanOE-r1i1p2f1,UKESM1-0-LL-r2i1p1f2,UKESM1-0-LL-r1i1p1f2,ACCESS-ESM1-5-r1i1p1f1,CanESM5-CanOE-r2i1p2f1
2014-01-01,1.983185830556596,1.3318460927256095,1.5962155001845042,0.6192795959116021,-0.08790834433051124,1.2369755919725032
2014-02-01,2.10763629607862,1.3779351195214866,1.6396204555677547,1.2957728305061351,-0.08154671891766767,1.248798350709516
2014-03-01,2.0763149492894737,1.2165440210487874,1.6762261098418831,1.4517371562839108,-0.10319239473712044,1.2121388808782407
2014-04-01,1.90773234080688,1.148282080613863,1.5955295988248592,1.5210729902457631,-0.20199912569767686,1.103498635612835
2014-05-01,1.7581297044395738,1.0906991751585706,1.4236484497874295,1.202288907288895,-0.3643988788084132,0.946720607437027
2014-06-01,1.6241705163524414,1.2096320641361509,1.3886107900930091,1.0681479155948237,-0.43628679032489626,0.7614932023152369
2014-07-01,1.5495049056629984,1.0760857894301417,1.3561541116062306,0.9042463243885116,-0.4511015041321033,0.6649917573009425
2014-08-01,1.5272736455447484,1.0478052233440538,1.401428171318496,0.7212899628696371,-0.3692309843811279,0.5400119232762819
2014-09-01,1.374654516604165,1.0447205842629603,1.348968505715169,0.7161009576690955,-0.3919943232905328,0.38335671204357197
2014-10-01,1.2467575028785718,1.2493347805330122,1.2980676752819529,0.9066172581438792,-0.4233202993420873,0.18176620842916574
2014-11-01,1.4280871403231843,1.1206140288649982,1.8673668640757448,0.8669080362020134,-0.3604460761834321,-0.11218795047920661
2014-12-01,1.5077948605421467,0.9283852430581756,2.6153494757719606,1.7541240500813096,-0.18581956127208152,1.1005286154374871
2015-01-01,1.6270604674203284,1.2601630305134286,2.3139503737862657,1.6735595546120408,-0.12110837816659795,1.411063971855887
2015-02-01,1.7442943959329544,1.6020022365865874,2.0063942661783223,1.7942428076822006,0.14528916196889133,1.4196869821272342
2015-03-01,1.730627006262648,1.5618236507927257,1.6181173586001745,1.6871186532679785,0.15405391559611728,1.1466659946850812
