,ACCESS-ESM1-5_r2i1p1f1,CanESM5-CanOE-r1i1p2f1,UKESM1-0-LL-r2i1p1f2,UKESM1-0-LL-r1i1p1f2,ACCESS-ESM1-5-r1i1p1f1,CanESM5-CanOE-r2i1p2f1
2014-01-01,0.7037832434081771,0.206445120754788,0.4764890036383982,0.027179817834187325,0.0,0.1498499728837301
2014-02-01,0.7492076849335986,0.2378291886916841,0.4568147993892597,0.2885021508969499,0.0,0.16256550573431572
2014-03-01,0.7360147422377046,0.2274340676248077,0.4838431658558399,0.3914072159987567,0.0,0.15922073674995535
2014-04-01,0.7499620094282621,0.22992117525143416,0.5153923396590419,0.4444619971349367,0.0,0.16823526856548132
2014-05-01,0.7228047585196414,0.28207501271581503,0.4923058423795339,0.3857189026828073,0.0,0.149344638275606
2014-06-01,0.6633094551436363,0.3895613177051439,0.5136373590072352,0.35291557222833503,0.0,0.12257713874476199
2014-07-01,0.639952304259477,0.3145324076997734,0.500140040383592,0.2959203302111612,0.0,0.10846772441843984
2014-08-01,0.5927277883324773,0.303117167678105,0.5375200872359764,0.16874689155195866,0.0,0.055831260006587446
2014-09-01,0.5584098862279233,0.3185199527549166,0.504249091013718,0.18203161131957707,0.0,0.03606405583407854
2014-10-01,0.4997592707842805,0.3869348096727196,0.4364594648539372,0.2747564855626466,0.0,0.0
2014-11-01,0.4995332332167141,0.3022145111908949,0.5376464337093076,0.2083403199152408,0.0,0.0
2014-12-01,0.5305701335224718,0.1808739954718656,0.8323486412030017,0.529835926879892,0.0,0.2120549300114481
2015-01-01,0.5006010074352006,0.2866805061329719,0.6586463075209679,0.4597402753139183,0.0,0.3048172617736472
2015-02-01,0.5575366521969951,0.39397092436795295,0.5723271897388603,0.5054357618918042,0.0,0.256673092322185
2015-03-01,0.5446630323969954,0.3968338131617527,0.4569645852412642,0.4931619525195648,0.0,0.1695228950617148
2015-04-01,0.5131315156116556,0.3288653566639653,0.3436912383160956,0.4688815726683876,0.0,0.10979306760973984
