,CESM2-WACCM_r2i1p1f1,CanESM5-CanOE-r2i1p2f1,UKESM1-0-LL-r2i1p1f2,ACCESS-ESM1-5-r1i1p1f1,UKESM1-0-LL-r1i1p1f2,CESM2-WACCM-r1i1p1f1,CanESM5-CanOE-r1i1p2f1,GFDL-ESM4-r1i1p1f1,ACCESS-ESM1-5-r2i1p1f1
2014-01-01,9.481678155931409,9.972879172870918,9.587922465405104,9.722599709227378,10.01211083198088,10.50581365982769,8.10403844609281,9.871681910293006,11.609149707268761
2014-02-01,9.597704006331394,9.729291970862354,9.81381380787068,9.110168594587773,9.846604263235225,9.793967028524133,7.7061099543861165,8.930106516730232,11.205380390479498
2014-03-01,8.978237110338302,9.449117763163585,9.825802669599472,8.677637774370236,9.656754276460509,9.164814853395473,7.81620261560794,8.384597484047525,10.659345128879679
2014-04-01,8.371662631642902,8.842603984326601,9.187995613683489,8.33461392198856,9.232408920263005,8.574411612192339,7.664052283290544,7.667193703198171,10.01805188685151
2014-05-01,7.831286779412638,8.060974818420846,8.444080361608737,7.846452986591215,8.661736538487046,7.743730816372111,7.022556835554912,7.167684433483435,9.224952397531332
2014-06-01,7.739658111927726,7.626228174928122,8.05659161559418,7.520439966655514,8.337631099762564,7.265625352801146,7.005301759200663,6.485688673724532,8.657840092779495
2014-07-01,7.664040189294484,7.515705839815436,7.8954012717710205,7.561836441590406,8.185913796874837,7.165535276551919,7.063240041027068,6.554817367897942,8.264397229174083
2014-08-01,7.297484874170013,7.459412713279862,7.725124739294972,7.506542012301197,7.982781458089013,7.008216291798487,7.003481844396244,6.747081959919197,8.175637974827461
2014-09-01,7.679773437281217,7.419088230036006,7.561443914210926,7.367087995425705,8.038803925328855,6.8100687061288605,6.970495468744787,6.748710238579504,8.151846473740239
2014-10-01,7.669719802384902,7.31449200849875,7.685314587513907,7.541420318090703,8.375659697680764,6.738978238698403,7.3627411148764494,7.041493207256049,8.485392325960799
2014-11-01,8.349270874010191,8.053823566805551,8.617695964132823,8.197744743593262,8.925819511987426,7.593959417520107,8.191016190255322,8.29529400561983,9.367741848780673
2014-12-01,8.797761612335586,9.664561784323324,10.086836866957595,9.00744145046886,9.427849142069661,8.267585195991085,9.450403136500713,8.977680461612733,10.538490399430374
2015-01-01,8.545125910422186,10.395519881201288,10.70055755959688,9.071917570295456,9.812095969959913,9.22343778472861,9.474525470369713,7.760435077438967,10.75634036338758
2015-02-01,8.477398901199571,9.932785807858334,10.531874630654073,8.91992710700142,9.358190540757915,9.427763289618577,9.006739478127816,6.949877590816213,10.585342934683338
2015-03-01,7.880376625317183,9.764724471065897,10.186995064680886,8.592004081915375,9.085618062225876,9.074627415675854,8.674732866577049,6.747337915934873,9.898116322073397
2015-04-01,7.4639307402012705,9.254975244713556,9.502633491843225,8.17085624023383,8.643530865205609,8.335105162541359,8.244300227490385,6.469506560423013,9.261207906330762
2015-05-01,6.990638947626934,8.657799153423667,8.523701471052933,7.390832803367799,8.065929788309854,7.814463492026273,7.6024671940929025,5.806486920600804,8.7242713636191
2015-06-01,6.812375950717216,8.200243056390574,7.877861364571968,7.088693941234279,7.611676491085904,7.621378991926732,7.447638238139768,5.880554416114108,8.224021408628246
2015-07-01,6.80115923198928,8.00326102651987,7.549650726278094,7.174033737183309,7.532818904574937,7.619218966640623,7.312244954021544,6.5222081715358415,7.92969906449164
2015-08-01,6.791339155876787,7.857719864384753,7.1340697002743605,7.23660819433565,7.6288845817084185,7.8270489610945795,7.215270453060159,6.607490972890654,7.961906162996249
2015-09-01,6.796827701841145,7.775691208671542,6.892456065501577,7.079506055157517,7.765070446257147,8.14015152884949,7.158987059159959,6.667056675421296,7.949576381907878
