,CanESM5-CanOE_r1i1p2f1,ACCESS-ESM1-5-r2i1p1f1,UKESM1-0-LL-r2i1p1f2,ACCESS-ESM1-5-r1i1p1f1,CanESM5-CanOE-r2i1p2f1,UKESM1-0-LL-r1i1p1f2
2014-01-01,6.68779450104438,6.32564689202223,6.822704686076762,6.177135061384518,6.466958292044046,6.42978277668779
2014-02-01,6.853790677804358,6.524518259652357,6.916152353545103,6.519975193228108,6.691460201061298,6.338837346236108
2014-03-01,6.9981643599555525,6.6741988268959425,6.812735436351048,6.838080766409348,6.779974935093672,6.715554856586566
2014-04-01,7.0251035278629566,6.78627869785236,6.670999958498197,6.936309178398182,6.826114621029199,6.607992063293054
2014-05-01,6.894160786023954,6.612332902329192,6.422752304021759,6.47896302436078,6.626418436507375,6.638424031408373
2014-06-01,6.717576573337964,6.521305463926407,6.19967476154771,6.2667609673200895,6.5052280946896515,6.405397489037917
2014-07-01,6.607719710434303,6.364932775823476,6.229343048506231,6.403255254110987,6.302538756980268,6.295762865767753
2014-08-01,6.530438538297862,6.230393524768697,6.287240893064737,6.371013074978475,6.257612041717415,6.322418873968141
2014-09-01,6.3046815089776125,6.12612262515229,6.142582504402684,6.257464517719723,6.14504357771561,6.0667308754446445
2014-10-01,6.208003686573362,6.227823487859747,6.135274879816175,6.28659761242257,6.178835341254373,5.922375189269168
2014-11-01,6.29825630036934,6.378692598066852,6.151127725019959,6.323902979426826,6.206915581920234,6.100035076897889
2014-12-01,6.455122304216597,6.561579691227777,6.422815061539061,6.371450834508339,6.318589054547156,6.193903265903517
2015-01-01,6.608039238700722,6.580171474716464,6.6156562768333576,6.601248376886484,6.452470998235986,6.592950994634528
2015-02-01,6.829378341132642,6.698431445123278,6.779537164322822,6.83628317428701,6.533642303400919,6.308765214366865
2015-03-01,6.989838465063338,6.746077548303561,6.823508198765465,6.857178126237347,6.719285577468393,7.010845650758713
2015-04-01,7.055339856795759,6.777015813106222,6.674136854252143,6.891067856038108,6.791552517438562,7.040748244182112
2015-05-01,6.769122906160277,6.541298614598316,6.4217372751039825,6.699986346209344,6.461587894915754,6.6659061277412235
2015-06-01,6.551986522893532,6.29947423364484,6.2837168315393255,6.420138144960238,6.312623134664147,6.679081491393859
2015-07-01,6.542236770272808,6.1883343555738906,6.177191765775678,6.234604347984012,6.1165191006080315,6.5578344083914795
2015-08-01,6.495089425325991,5.921539603167535,6.205487281884568,6.132876339284874,6.06549833214551,6.4231693595207435
2015-09-01,6.340378200816248,6.009757640806339,6.189644526106732,6.01620632333442,6.078401664968817,6.133769624880276
2015-10-01,6.191985735329106,6.056811144645923,6.145967358852268,6.138731333576647,6.113199147159214,6.064992721544575
2015-11-01,6.332299633869817,6.1321447447147595,6.281831429456091,6.153636684678483,6.193196861570272,6.236860606345329
2015-12-01,6.513923028672839,6.221264954621508,6.312511692080465,6.688908002153671,6.325101977214033,6.561419131842451
2016-01-01,6.875382861932359,6.271902815831227,6.62871069355505,6.987668148840867,6.529765711922344,6.691640997506395
2016-02-01,7.040187285892904,6.4972315092832185,6.928682161462295,7.0153036826374136,6.73895764600546,6.575708563814205
2016-03-01,7.1260211485882925,6.670648353629919,6.9458816932237415,7.0801179083381225,6.97398549628963,6.845379180517715
2016-04-01,7.150561805220258,6.718798616562822,6.948078775345943,7.163267647033495,7.1114734743687,6.673550882695183
2016-05-01,7.034905075114149,6.367723154669572,6.941556853764036,7.0617753430186925,6.838703773622585,6.3712375814039515
2016-06-01,6.793273393273973,6.3042383049857,6.71278130745763,6.868523908000177,6.835694480622126,6.45009570124707
2016-07-01,6.7360487819460495,6.187279043181063,6.5650820212654475,6.4643918566432275,6.744651706400728,6.264004023365127
2016-08-01,6.5759796073691925,6.114862891147872,6.567209488644751,6.58548270973289,6.497304070758172,6.153935134288698
2016-09-01,6.470491349671747,6.052629938693178,6.359110667878476,6.460909058652942,6.35767109039366,6.102600178624392
2016-10-01,6.464590136445953,6.082873482099103,6.139446778396223,6.522292593376702,6.2565227440999935,6.275249307698222
2016-11-01,6.4579325508368255,6.272127879153397,6.342848835450188,6.56862068330542,6.320415724834818,6.360390248524235
2016-12-01,6.5492925132312525,6.335091741046318,6.479876946813332,6.784760318998496,6.481782475027673,6.487567007274469
2017-01-01,6.810460410252893,6.7280878013174785,6.6420996335337925,7.017275535698437,6.741576144458107,6.625930100803494
2017-02-01,6.916514548611389,6.701877307062483,6.771327276004617,7.300010274731226,6.926792445338452,7.076606823203026
2017-03-01,7.030416505437863,6.721958116827135,6.69414164124708,7.326832037164371,6.8931833948142085,7.263532364235507
2017-04-01,6.967922237302438,6.7227060831505945,6.389201177280407,7.1462067297332075,6.8651096750052165,7.106672606267567
2017-05-01,6.6259531316269324,6.342590428128528,6.2274872173051365,6.765341066694022,6.705904546622193,6.941285217055883
2017-06-01,6.670452787985407,6.377030372083189,6.033372779320756,6.597854578170522,6.707907811223363,6.809572661139862
2017-07-01,6.683834132128142,6.168861665329543,5.856696422520449,6.581335280951855,6.5328887923832175,6.471202958884687
2017-08-01,6.504666801728723,6.368435202932688,5.9616094770740675,6.5896343993473865,6.226844171568597,6.260354205520077
2017-09-01,6.278989507783956,6.378551982353196,6.137084445440679,6.320327713328574,6.221978006950227,6.217547589951852
2017-10-01,6.285342117013728,6.324855740469707,6.15895295764083,6.268310705079531,6.076400960230546,6.298125813796883
2017-11-01,6.42040618961842,6.409239522409544,6.322594506700822,6.276680530889231,6.12965060032086,6.311072122755181
2017-12-01,6.641205586580896,6.436199175764765,6.6234300958803,6.392163130433876,6.2383906924330015,6.615551321721302
2018-01-01,6.796297070317353,6.56058750302876,6.690336693756263,6.693969846697308,6.442760287550588,6.822834754274765
2018-02-01,6.895483240880227,6.6988889491143775,6.612890045354456,6.7895701756193745,6.837862790866058,6.8767609109737835
2018-03-01,6.928975950436293,6.831462307031151,6.6577011715283625,6.7705152773405075,7.045450435194097,6.802955081003127
2018-04-01,6.929937950656918,7.009419528420351,6.6146792521601325,6.840360678352178,7.054882653208815,7.0290606673750675
2018-05-01,6.385898623807927,6.7643010768249425,6.3204920816617385,6.612313332856054,6.7987447145579205,6.802252927323791
2018-06-01,6.235443682459537,6.498454867284675,6.133604847282133,6.528925813019978,6.755400665733213,6.575477404528941
2018-07-01,6.209567107078535,6.590666355549465,5.987170734291433,6.3509624839406165,6.7233655171084425,6.3687085723266845
2018-08-01,6.172299638481702,6.495800975389299,6.042181221812543,6.326822888969892,6.624806646656502,6.460464532720837
2018-09-01,6.075170688891273,6.341211369827808,5.955747988429732,6.175323221719428,6.280442430008121,6.279977983815298
2018-10-01,6.049247374302971,6.344064137542762,6.241236459019603,6.150009133773318,6.233776571137053,6.373697970592804
2018-11-01,6.059854063956728,6.533956454251896,6.350724676787706,6.210728547532513,6.213678523100798,6.540682072306933
2018-12-01,6.23586060631543,6.6353672593409145,6.537267093387483,6.687471944419521,6.4740623031467575,6.773833718260224
2019-01-01,6.163555352071876,6.775187331165808,6.647424538140782,6.7136011708159815,6.748090558371182,6.622932700357221
2019-02-01,6.250203572084104,6.836138185348251,6.767790851171184,6.802828446678476,7.0041051465824316,6.610623667002034
2019-03-01,6.512360263869945,7.063090230994018,7.013097163234987,6.917453535219394,7.0390707585443435,6.786192549563821
2019-04-01,6.678302163288466,7.190310256284644,6.895549497046955,6.981501111817247,7.103184246929652,6.7798548916146855
2019-05-01,6.6602427555893655,6.813770857275743,6.625831002059965,6.897762008692545,6.872984501310512,6.45572289445793
2019-06-01,6.661615175152515,6.88775279591073,6.3144465474466624,6.623690227706741,6.8330137583739115,6.189090596611658
2019-07-01,6.580121739372015,6.5219160015967415,6.265249163390919,6.784105127016084,6.9655181744040755,6.2105071178578175
2019-08-01,6.446251606922532,6.391222129866335,6.262938317499533,6.391561276170683,6.738006137904938,6.288534529126853
2019-09-01,6.279206388385036,6.283070705143706,6.1605901405627455,6.3285907628261695,6.442737242370416,6.097803031787492
2019-10-01,6.159445256943692,6.399455237401214,6.286240529697622,6.256758635464077,6.31637292069793,6.179638232882416
2019-11-01,6.1049291921689655,6.545824636175612,6.29285456563701,6.316170935744148,6.362358736274768,6.402193009163229
2019-12-01,6.223304530636628,6.581826562039572,6.4792633435365845,6.517496977994496,6.559809838417023,6.525048026306789
2020-01-01,6.344687213768556,6.654820020207652,6.577359155334164,6.6431528292219495,6.74649895537667,6.522723330937969
2020-02-01,6.5952372779118384,6.831042952889241,6.6409271974330775,6.787579268031406,6.953077075041922,6.682857083818683
2020-03-01,6.6956685358805075,6.805352920221252,6.533732110143727,6.903077026701269,7.065993274340028,6.560828716212258
2020-04-01,6.751158287951451,6.7493855597031365,6.522829466980612,6.975705923492073,7.148732426644508,6.475153534632984
2020-05-01,6.510755372186973,6.840907867156368,6.35099573324082,6.511324535842973,7.069660055998825,6.4818243609654935
2020-06-01,6.173778801881922,6.721442644682587,6.2578619373569575,6.3266748891182125,6.791721800514408,6.351545514834797
2020-07-01,6.02401722027567,6.476304351507664,6.144725572195821,6.226593575129832,6.720794877242316,6.153670311424167
2020-08-01,6.0502888012713525,6.468069506554519,6.140934330731107,6.135836272065438,6.561958856222846,6.151911032849032
2020-09-01,6.073309433574848,6.349673954790175,5.957960175590124,6.118915394146726,6.444824281107273,5.97075379996381
2020-10-01,6.082361714922744,6.188525772720334,6.13435967907574,6.093378435535367,6.302871323700078,5.939679721684948
2020-11-01,6.099107525599212,6.299422642417729,6.204311155060459,6.330459502986393,6.261108153037148,6.114051539781519
2020-12-01,6.1999602178829045,6.434659346926021,6.5170190835674,6.643106681610463,6.418901858888988,6.417587395329016
