,GFDL-ESM4_r1i1p1f1,CanESM5-CanOE-r1i1p2f1,UKESM1-0-LL-r1i1p1f2,CESM2-WACCM-r1i1p1f1,ACCESS-ESM1-5-r2i1p1f1,ACCESS-ESM1-5-r1i1p1f1,CanESM5-CanOE-r2i1p2f1,UKESM1-0-LL-r2i1p1f2,CESM2-WACCM-r2i1p1f1
2014-01-01,9.651909813903524,8.60899475207594,9.774756243775773,10.553703878580773,10.734185537101837,9.67629212833695,9.564209876593793,10.443298783245421,9.626314997457646
2014-02-01,9.054327418142496,8.322217019043443,10.087201524407613,9.756081642762766,10.265356463455262,9.14768806142166,9.527598589802864,10.591924767525372,9.661588345037998
2014-03-01,8.71351053607013,9.766041275053233,10.512975374975994,9.902615745283317,10.48335814418149,9.457263415847391,9.912038906912693,11.590846719228992,9.474090391880473
2014-04-01,9.885426829651893,9.997819115925706,10.999570284716976,9.998122745696248,10.61929475693733,10.647363925651014,11.149464332958429,11.81923618714201,10.42981950481742
2014-05-01,11.070365750911613,11.818889633620396,13.579037817261606,10.705603244463628,11.820482767366073,13.043896931825564,12.12132121709287,12.710456802158525,12.192924902444181
2014-06-01,12.165611016892614,13.09917138115664,14.808392997178125,12.055116243960455,12.892875594221866,13.644570141837935,13.630756458731135,14.817858980375275,13.706271002179339
2014-07-01,12.982568798057635,14.496753670507452,16.20294580781471,14.059290534008046,14.631002460439575,14.626981572555776,15.263760116144244,14.923571486189784,14.985874640479105
2014-08-01,13.692661787771232,15.00103160894203,15.483920901015331,14.82630862275172,16.250256792420362,14.891285726767983,15.567105919222438,16.07774208054877,15.076647497217433
2014-09-01,13.550093081407773,15.115847596611054,15.845059528637329,14.4288311518312,15.33022137021443,14.898310143921142,15.073040306908073,16.418263408408748,15.461631235963267
2014-10-01,13.043508028547516,13.741371985788165,14.124284361314276,13.06415389811704,13.247395169373398,12.956190705215334,13.897149812851614,15.35981736041702,13.378302608088982
2014-11-01,11.69704293172895,12.119284475568078,11.731534075525465,11.259169164066849,11.775106902593365,11.801842936954591,11.726410770239275,13.117682544458187,11.69024654737804
2014-12-01,9.275462977481613,10.566250448150377,10.01782538477334,9.391499405078127,11.338196538462,10.282829834257367,10.737121560435476,12.230240366361068,9.81094674727361
2015-01-01,8.379303549234839,9.718683169379569,9.486320238954457,9.340052102865306,11.015640661368174,9.46473933375945,10.635170712412485,11.483258898123731,8.96408833540182
2015-02-01,7.665982198715165,10.228780046436324,8.715903898855991,9.557457828202924,10.280635660869057,9.471421126016912,10.523059512114074,10.551425187298854,8.995128031590212
2015-03-01,7.452173995559733,10.68731512438365,7.912195085077826,9.941122788300824,9.804003011704163,9.276715011681906,10.587190402994526,9.792441990400311,8.983998457327754
2015-04-01,8.16252136733117,11.125191534135645,9.135187427285016,11.089587892443447,9.9194698933677,10.26105937769929,11.555347194421804,11.399147947930743,9.022842908421175
2015-05-01,10.775002478460983,12.631234230674634,9.920597099415724,13.263621167792804,11.846754462015015,12.272739047632115,13.80700719773567,13.509629978736527,10.363360855343261
2015-06-01,13.227019221942587,13.615878789389047,12.477992643620265,14.40131767032562,13.092167143968208,14.303988606000605,14.936412186602533,14.758900307166483,12.165134747846551
2015-07-01,14.026823197250485,14.463755941734547,13.534494189014795,15.51069363215867,14.104139004706438,14.610965918204727,15.121457436806484,14.351521693503107,13.135792951100449
2015-08-01,14.227689871648462,14.908973557586302,14.108849007444926,16.027002413126628,14.465634865261967,15.105736012405494,15.502749602655928,15.982457773564894,13.593975110938418
2015-09-01,13.770128457216384,14.833789684851205,14.850742017488965,15.958070128143602,14.681980667078587,14.66332743300745,15.57378322259408,16.14092753656019,14.105289637451573
2015-10-01,14.27209491740508,12.937471760005995,14.148697022699675,15.184804533245993,13.854836419878248,14.503963214419274,14.355237609350315,13.698208551502187,12.586991142469904
2015-11-01,12.69599539031462,11.683176337644431,12.612050357884554,12.975273641528053,11.15132424877393,11.845566561611884,11.71775467736308,11.51906384465504,11.415960216283269
2015-12-01,10.079062992765193,10.083730883553592,11.112137438809617,11.950236214064958,9.55930141680282,10.016727233762321,10.966805320513618,10.655718957898769,10.779300078693298
2016-01-01,10.191319570476725,9.390763773799117,10.962819012111552,11.722915082353534,9.031031074901126,10.049422763811858,11.170542380327067,10.256899717918554,10.153682486199664
2016-02-01,9.585387726949133,9.348655651956033,10.480557942638184,10.922719180963316,8.57014378960055,10.4109288960959,11.075707719153547,10.022970994400564,9.085254326018724
2016-03-01,9.200141647041663,9.73607335905635,11.537336148249615,11.449445873082304,8.629744889271457,10.138698714080627,10.377607537330768,10.100151439027739,9.282146557281155
2016-04-01,9.898217942334897,10.21007364302366,12.108372799646034,12.052408533569247,9.805497418966835,9.90264966589608,11.558590975705256,10.00460159028368,10.425312191462744
2016-05-01,10.72402111772665,12.692546939975227,13.570156166517739,12.370961018069238,12.681769982399027,11.400033731267548,12.674700734094973,11.948010166725789,12.130689153210628
2016-06-01,11.768521970898616,15.46637076647887,16.066097696143068,13.885402620317477,14.277330150445053,13.829202503779836,14.080111225190446,13.885667165767007,13.664613318248177
2016-07-01,13.346966650272096,15.887582629229488,15.869817252447966,15.021375890353616,14.815894721209517,14.616011847089608,15.02930971500319,14.943265577980972,14.594185892339024
2016-08-01,14.24173997813116,16.194068288781054,15.842563494974625,15.535484882183082,15.60923899090148,15.098411068517349,16.04138584803376,15.344798485062613,14.932757122696097
2016-09-01,15.544192053780108,15.53919841733419,15.105445309308026,15.677896508753614,15.17587308182045,13.742270998922189,15.569953046562512,14.518165178449486,14.627201551010982
2016-10-01,13.058373950047455,13.958269440595934,13.533512194359512,14.673231553996985,12.92532980117686,11.578593189968805,14.948907167427851,13.658402596609848,13.90208378508439
2016-11-01,9.961319282789898,12.26712329797201,11.665575606604,12.214819632594216,11.382550254449525,9.897236837033164,12.927515820168006,12.2143021392234,11.532741454215609
2016-12-01,9.13635200670339,10.34378201191005,11.284131842177313,10.429560516647104,11.314790170075554,8.494004015864231,12.290742556089587,10.637894801501014,10.25361580789915
2017-01-01,9.683320882892966,8.753363689823075,9.629802718539516,9.017440323762653,10.978756635264926,7.880586645949651,11.595172002246251,9.531633660080184,9.669981067065121
2017-02-01,10.243550020667744,8.252917208388334,9.214224957322381,7.9839267504657245,10.497546836367002,8.05522807604689,10.684220194234056,9.675180401040926,9.747173922632701
2017-03-01,9.789984204107355,7.879515228643098,8.53686609938481,8.149389257820411,10.997173797178302,9.070417571411603,9.285702115946128,9.581554232508305,10.573021285522387
2017-04-01,10.770064959699194,8.512357733270083,8.994512934703543,8.869393006799225,11.157882525099845,10.055104137155817,9.18058773930558,10.329347694475599,11.53156657585203
2017-05-01,11.726275233844216,10.761916112466977,10.962721922488987,10.983791505132713,13.028869775296185,12.578757959016931,11.795128294693985,13.575192643541591,12.952692162259321
2017-06-01,13.71112302013604,12.205358515069785,13.093061704364974,12.681509234615344,14.400237439744568,13.987853704521553,13.717631796866787,15.103160129944769,15.404173739950703
2017-07-01,16.041463337925663,14.508898361341801,14.378240026155705,14.055308839101624,15.243099467554615,13.993286215212025,14.760131277116328,15.421505725907993,15.363978444910973
2017-08-01,16.763106701410106,15.022070133452516,15.669865733718105,14.336934725733178,14.638317539973668,13.784334053378313,15.342841799510705,16.863042145536188,15.736143649237116
2017-09-01,15.495559578686823,14.37375355173918,14.396477520332795,14.972748132068,15.183571163038776,14.329047533402449,14.041172285173928,16.295729618635747,15.163879012458148
2017-10-01,14.705653272478607,12.687487486569527,11.98669222830933,13.335088743936154,14.972804486564574,13.359077505400613,14.587865561328554,15.592707692661744,14.9345483517425
2017-11-01,12.703972674977152,11.017382625748954,10.95468107518893,11.25074806325954,11.054829114473646,10.803970123640244,12.529608063652807,11.869561117694564,13.4284940098556
2017-12-01,10.798165800334077,9.823919792841092,9.276845368160817,10.581915791644047,10.201809769945461,10.254230005206342,11.380777099454892,9.58806458770167,11.459427606897647
2018-01-01,10.042843643872972,9.292361905548132,9.408155288525776,10.63832096713973,9.665340170571515,9.119115552905686,10.833750313588489,9.068758382589968,10.38457844046983
2018-02-01,9.890167735555387,9.172106685039084,8.858410060740956,10.673604105487527,9.981023879853137,8.649571254677781,10.773483359277666,9.379058969189707,10.062276668207815
2018-03-01,10.820565304843104,8.982321767627058,8.981273564382926,11.076929150839396,10.671648522836009,9.530637247241328,10.451231945127237,10.488902996965132,10.007821736027267
2018-04-01,11.191118045193486,9.769294970980258,10.173728588628467,11.783907874218912,11.166883226436255,9.819588530012474,10.743341162746631,10.576484231319073,9.361454262517872
2018-05-01,13.611111089547196,11.548191697918815,11.244561493967288,12.582252480596228,12.25604366438584,11.302785552783224,12.401718616540176,13.272764428434009,10.798275853293056
2018-06-01,14.118831974269314,13.789247662554358,14.655111100238269,13.780496871068301,14.810975862474727,14.050742577165432,14.26367050171755,15.422022916431624,12.845140124103224
2018-07-01,15.835695853975325,15.181426807246089,14.93026001701261,15.077555808510025,15.671713925357473,15.00546036854858,15.2475712503015,16.93872498721649,14.493943602712282
2018-08-01,16.321197073504862,15.39872819534323,14.843883469549557,16.177609345323177,16.576121873087352,15.302693057894269,15.728797986776009,16.909497420054795,15.050615656855925
2018-09-01,16.2889951013869,14.91889504014065,14.749569274816027,15.071742906104,16.896940046070622,14.585640889007257,15.969292408905234,16.167357246713276,14.561198550078274
2018-10-01,15.357877812663947,13.526723852772946,14.294235053495402,13.664010989838562,14.825869523580284,14.100484413473964,14.814745699559035,15.742612588247088,13.384722463611386
2018-11-01,14.051808539779852,12.06142292153573,12.400307379964294,12.46138619618752,11.858287112056436,12.314730388110965,13.20990724818827,12.113950924235644,11.056166917426323
2018-12-01,11.96703887450749,10.66289489328586,12.191809034906466,11.10222455815043,10.375416098644617,10.656842527236847,12.002831116761387,10.462815859434249,10.324003338832265
2019-01-01,10.736044140970948,10.02348710049261,11.802529321332749,9.883545871451707,9.601055532746484,9.340218975083284,11.073773075333438,9.81502199410312,10.249775546103344
2019-02-01,10.103238099467633,9.68539183323231,10.097472803250039,8.786395752494872,9.652934932815391,8.763634513959326,9.958300704153618,10.402819726790572,9.991754919518769
2019-03-01,9.758216184935822,9.33586486507856,11.376217367927472,8.879863392809623,10.282428471854175,8.798559694086137,10.672637370966237,10.94719006829816,10.653623234446494
2019-04-01,10.985617400260308,9.827840590974898,11.111265732947695,9.388517092362187,11.828681255063277,9.354804022379387,12.209808935263188,10.563417679519599,11.23840660387012
2019-05-01,12.863147015908543,13.174563026882687,13.806366282531405,11.191203208567963,13.556605451269288,11.43943496671822,13.204361700109795,12.706729036358114,13.195837753481243
2019-06-01,13.717193257742615,13.788997834269367,14.716532376613927,13.49632273452977,14.232128710666794,12.533755405304248,14.738559190523784,14.465012003269939,14.487291051270132
2019-07-01,13.574174309093301,15.026881212056766,14.902641075312328,14.826121628264135,15.63166682097893,14.522672642623384,16.315096039825228,16.123647670386102,15.782424227826034
2019-08-01,15.36872850969552,15.391501501070024,14.231218858855724,15.748456375792225,16.38326489746719,14.421145276194098,15.474595299294815,16.380474658289724,16.320228410906065
2019-09-01,15.518486290371387,14.885240580490525,13.819510182188756,15.444998344843047,15.381155265761091,13.917343988227445,14.37670217202426,15.422061086722815,15.851532174333087
2019-10-01,14.801827037419367,14.112557247849903,13.556196407058914,13.838447667153792,14.648698459836853,13.042103878073227,13.320750756018965,14.130451014330518,14.20139776173551
2019-11-01,12.50042991697692,12.150116896749706,11.627418043497894,11.858913615846955,13.528437889923664,11.043957442014744,11.59816886919474,12.436526732151027,11.69326934473116
2019-12-01,10.67988805236448,9.835916965491617,10.753361501584802,10.740092083561851,12.141671079482329,9.43236653128004,10.657439666240203,10.665555943255466,10.935892971247595
2020-01-01,9.627413931678797,9.74848036299202,10.031586073435133,10.329824849741199,11.396801908898716,8.969537376201695,9.98151444074828,8.762766450134995,9.776513062199484
2020-02-01,9.345306518524929,9.795020887766434,9.816739879949317,9.608736477398333,11.180304118159214,8.471244712696322,9.386046777270963,8.656582583091371,9.442004036811076
2020-03-01,8.764436402343264,10.261453631583198,9.509623324253818,9.274469773802966,11.333894751187096,8.479219121575193,9.217281600602755,8.961535087156912,9.396918928207452
2020-04-01,9.726573950908293,10.483457402927916,10.50756798108754,9.65957279736551,13.383099493755806,9.447675565492547,9.574198680298329,9.084390685962124,9.435324378489709
2020-05-01,11.675621287489367,12.331218223791444,11.904806749337736,12.13569883392663,15.02005681575295,11.282588513860214,11.866135923207706,10.213232959860607,11.774871296329385
2020-06-01,13.441007033639044,13.928257261031758,13.826544602136085,13.826519995718884,15.499904782832667,13.54618280462816,15.50363344110631,12.342029033800411,13.493620087034161
2020-07-01,14.807046950784555,15.576351860306303,15.911096235796142,14.81605670512703,16.39672646158406,13.887124118692133,16.034908711386958,14.879367643154533,14.840296098590034
2020-08-01,15.58069474308623,16.170229519796052,16.12436933117172,14.837295603087282,16.79455175340018,13.748496744914089,16.773786486320088,15.439407808867767,15.029631517872007
2020-09-01,13.900191904392653,15.25946274199462,13.90028408894842,14.964993283567042,17.35145780520666,14.121238219273305,15.528363189232175,15.168840050941473,14.853895883764228
2020-10-01,12.713232339369092,14.724950393187974,12.23651678886703,14.073382654656065,16.4450210661686,13.900852419579998,13.326371551565511,13.584859534665119,14.089221949510504
2020-11-01,10.539437954812547,12.999737688227134,9.95091599499634,12.021405596368492,14.277418094718795,12.215497601254395,10.452793216291749,11.846471751473329,11.720453395531905
2020-12-01,9.633104468101745,12.23542523674059,8.78680732688203,10.456676975311805,12.619269726900024,11.029095394449763,8.961485204300097,11.354922631325636,10.134385200114872
