,CanESM5-CanOE_r2i1p2f1,CESM2-WACCM-r2i1p1f1,UKESM1-0-LL-r2i1p1f2,ACCESS-ESM1-5-r1i1p1f1,UKESM1-0-LL-r1i1p1f2,CanESM5-CanOE-r1i1p2f1,CESM2-WACCM-r1i1p1f1,ACCESS-ESM1-5-r2i1p1f1,GFDL-ESM4-r1i1p1f1
2014-01-01,9.681744536079409,9.377569225759345,9.941727366297881,9.87113031130994,10.082468520329687,8.099475174086281,10.827913478046773,11.157911169762642,10.71479632962473
2014-02-01,9.620385371555335,9.809250384920102,10.538629471332037,9.559037944169184,9.794914029481443,7.612336327295497,10.559029549221659,10.949932344776522,9.214331318444614
2014-03-01,9.636629281144778,9.289814900595086,10.576660410570453,9.227690080565758,9.81274341800984,8.179299146673687,9.726783800674024,10.667749032736133,8.164033094489497
2014-04-01,8.925015776894142,8.586259956453263,9.904589181290437,8.710023806128609,9.390017235508862,7.836714227201142,8.871687462196178,10.043889311288003,7.533864721997012
2014-05-01,8.285506090379739,8.097288609279914,9.27585653247677,8.304005207329105,8.989156052291326,7.340743643853692,8.225672473158259,9.088647980120673,7.025178381444434
2014-06-01,7.9568360075254425,8.047674357390237,8.791254650131277,8.164635779733649,8.654774375959338,7.129556033300848,7.859117473692084,8.514352318316073,6.660901780475425
2014-07-01,7.791136475428012,7.882215665483363,8.43239063385336,8.076545156878534,8.40684602897546,7.068935313472236,7.7016595141358275,8.10973650244326,6.542629528730562
2014-08-01,7.767616148612793,7.680526848351322,8.24230652266788,8.04883630423055,8.322923611436,7.0706492219797505,7.579645306738416,8.014777178042799,6.647302521569066
2014-09-01,7.8328759671108035,8.094900938203189,8.109805841517469,8.019785559030346,8.365645585760713,7.080180475932188,7.385959656247567,8.217237931083403,6.525320145789673
2014-10-01,7.737954367778093,8.098794362919127,8.047819617936844,8.199992167412441,8.745284417159313,7.597173218907449,7.317922526132683,8.64178793492971,7.129970306455012
2014-11-01,8.092470772406829,8.5584772987391,9.0263035776322,8.779131741640406,9.474334973940325,8.294652722634293,7.809622743359673,9.525425960986242,8.263363290336693
2014-12-01,9.646107738646194,8.923431453638571,10.692520659707018,9.55861829345288,9.70579668458435,9.757050268329154,8.36134932372251,10.60678609122459,9.204865825391511
2015-01-01,10.3524242652849,8.353150189192942,11.098105031936818,9.669018933710767,9.880127302386157,9.551276452526283,9.495291794473246,10.993399590433857,8.00512572912342
2015-02-01,10.591674608099073,8.523232899925778,10.3804324069363,9.53682136217375,9.118019494361214,10.162704431644658,9.615224193568938,10.700607990873248,7.992847320583042
2015-03-01,10.302369921851048,8.120466521700529,9.513423037507684,9.175073864945068,7.5858223850658835,10.31485087734066,9.329499597394687,10.14048509702884,7.401946699608056
