,CanESM5-CanOE_r2i1p2f1,CESM2-WACCM-r2i1p1f1,UKESM1-0-LL-r2i1p1f2,ACCESS-ESM1-5-r1i1p1f1,UKESM1-0-LL-r1i1p1f2,CanESM5-CanOE-r1i1p2f1,CESM2-WACCM-r1i1p1f1,ACCESS-ESM1-5-r2i1p1f1,GFDL-ESM4-r1i1p1f1
2014-01-01,10.012206441701393,9.649727700480682,10.105294786792657,9.981456884551502,10.332756617071992,8.451840137630994,10.8942236754559,11.600202933492586,10.643644775210596
2014-02-01,9.770817911016957,9.976186943611534,10.612940760353537,9.584129356464477,10.028691438542467,8.109532054202006,10.463000525722302,11.118869931465683,9.352871493221778
2014-03-01,9.723297638394907,9.4091756489371,10.588742937367797,9.194770616997188,9.997067833479818,8.301515976416857,9.815806371099297,10.739730551782232,8.322055662815199
2014-04-01,9.049869518297397,8.736971198184479,9.955217674804727,8.78237076915799,9.547206692223744,8.020956734447978,9.058126423913107,10.126081995299508,7.669353312489843
2014-05-01,8.345307288534977,8.076610393492714,9.149456656763368,8.237630092702897,9.079600997093069,7.432387080823479,8.246406864722745,9.232649680830002,7.338063520227094
2014-06-01,8.018499736217754,7.98365403665785,8.643127090705498,7.950305938543968,8.681021514436404,7.277614328780666,7.751016502979804,8.560911440330003,6.687041918943376
2014-07-01,7.724458336482828,7.89250507374199,8.395907368760831,7.815889235876707,8.371670990262412,7.130273045648782,7.618272079427568,8.252818102854278,6.610202813594758
2014-08-01,7.6316920235949075,7.572363802083893,8.118576626839088,7.722434096705598,8.188787877963147,7.02983346870785,7.453896375540262,8.14951941559829,6.8284172630521525
2014-09-01,7.649235501603456,7.854227099310164,7.812724628377726,7.515758177309342,8.175692556539294,6.999824926015372,7.160106475215957,8.174424306160825,6.555578233347679
2014-10-01,7.645647241266914,7.969841769818629,7.952216760002371,7.7209886093603215,8.543480110006508,7.553249379732136,7.107271429064242,8.579510762152008,7.298731566250686
2014-11-01,8.066391227161185,8.577773119393138,8.924609744365164,8.385600555329312,9.311439031220877,8.419312331094899,7.761762178888552,9.498193224746494,8.251410071044033
2014-12-01,9.6247697788942,8.742842374886584,10.666092166669387,9.332777272863467,9.793073990555774,9.826260585645102,8.537640826919493,10.777956762510684,9.295703739188587
2015-01-01,10.530142883396753,8.466113849955732,11.170252347142382,9.515769423114882,10.057882474321806,9.845413763905693,9.548531729102557,11.13686958524081,8.20692333709385
2015-02-01,10.674669875137779,8.713586195522447,10.441593287561572,9.313644489817467,9.206818558353694,10.21207928241717,9.724576571323396,10.896358332249966,7.985620035655611
2015-03-01,10.389705659181836,8.308548867213469,9.55694122509568,9.031035250552208,7.674530562953287,10.277784584673258,9.355018915256032,10.28224622662619,7.407226878100501
2015-04-01,9.787515929752118,7.7960872408939235,8.704233227709237,8.531492896378293,7.156737308214513,9.653452358791832,8.880723059314198,9.576754075678211,6.778862377910229
2015-05-01,8.924085616246417,7.134617129745454,8.153427302676194,7.90486722694709,6.8486683415729415,8.911484312784827,8.450102672324252,8.865811158499769,6.253355047682978
2015-06-01,8.47397873401706,6.714886601799539,7.7180492616992975,7.541985044084918,6.802195976829705,8.48744358449003,8.406502414269854,8.362027916110069,6.469402048622082
2015-07-01,8.138695377327767,6.616471573183628,7.4923647458971905,7.49455415486868,6.910733610527028,8.203804106552639,8.420366438995714,8.078947992851164,6.881337481015375
2015-08-01,8.089437792868283,6.6232169490987625,7.3893986237189395,7.5032567810734685,7.1102638969528975,7.974822947447461,8.346169801932486,7.776688779447727,7.034906304451173
2015-09-01,8.000055619376283,6.641529765956769,7.260106847075042,7.4764439737994195,7.274123935587661,7.722095900928077,7.997256648848838,7.590083686258513,6.760192161878909
2015-10-01,7.895535194510781,7.492030412048122,7.5116934301440965,7.757382632383039,7.713326239700974,7.725073612144457,8.133155522462777,7.880531228656318,7.954847302889319
2015-11-01,8.524444541731174,8.415213176657723,8.227449519246543,8.399167422695193,8.83073649959706,8.284820060415223,9.51489035455698,8.662615241441847,11.614977062769299
2015-12-01,9.791665765010773,9.62364529850984,9.43814547226627,9.275693675494297,10.344158486391569,9.356245948579287,10.909352640346704,9.591711999217416,10.114163406625204
2016-01-01,11.119148946769528,9.788584055596214,10.303475623134766,9.771915757150637,10.5854260916924,9.55233751508141,11.74025684555352,10.024704939591146,9.998549513468314
2016-02-01,11.469474566280887,8.80899827357057,9.729166975069221,9.908304180649331,10.046576691313847,9.76873059077541,11.011352964454806,9.679060863139686,9.964105001949221
2016-03-01,10.47578614699143,8.32070470385733,9.453832234171513,9.438263672843396,10.364427638536712,9.797861044286519,10.768478833690416,9.170898195354091,9.520688204455249
2016-04-01,9.779459228354364,8.127698620030587,8.810661044019925,8.592795113225938,9.950863705928429,9.011110937207174,10.35716752590011,8.593118180496761,8.714696649668982
2016-05-01,9.061574054006874,7.564964562022912,8.14648658785201,7.706052767967408,9.36498821711673,8.286392319369709,9.614223466148902,7.9475799206924185,7.877716186901544
2016-06-01,8.578672681063827,7.535941896685907,7.758189965732813,7.415710094623427,9.016480340829053,7.917610048860141,9.207321003798574,7.732817083834878,7.538347789964077
2016-07-01,8.393049452532347,7.4334741202366095,7.3399010013261785,7.2462476239939875,8.697639827845423,7.889062266881582,8.956017183622828,7.694317871573869,7.277258446337356
2016-08-01,8.288158997341904,7.260343993922594,7.263222914838848,7.15444047219138,8.651050817481147,7.848157641038313,8.763302633029722,7.7100661565753725,7.022419927075233
