,ACCESS-ESM1-5_r2i1p1f1,CanESM5-CanOE-r1i1p2f1,UKESM1-0-LL-r2i1p1f2,UKESM1-0-LL-r1i1p1f2,ACCESS-ESM1-5-r1i1p1f1,CanESM5-CanOE-r2i1p2f1
2014-01-01,3.738075607195379,2.622300626191441,3.407069470695648,1.788429695336814,1.2316466522482223,2.2104430577620486
2014-02-01,4.122565154244951,2.9812993542509663,3.543012398692281,3.1484160394033767,0.8992523272252583,2.6077547813582966
2014-03-01,4.007758735049097,2.9235635437997947,3.531771211602292,3.314201197097407,0.6990065697365528,2.5684531755906224
2014-04-01,3.716652371441597,2.572643883989087,3.291340095252373,3.221666547307057,0.5123892457109457,2.2298875894831496
2014-05-01,2.90123862596691,2.0580586023551146,2.5663459500091066,2.288355100282209,-0.066336510129872,1.5311778474913658
2014-06-01,2.327508207380104,1.99192286073663,2.2712912192936447,1.8242306738457128,-0.10798180917770864,1.113371248478741
2014-07-01,2.0256202252673576,1.5677980961448206,2.1856169138456587,1.4586795544864906,-0.3959200165777925,0.8392043944131666
2014-08-01,1.918149839138391,1.3780872232350323,2.1504510705813518,1.0050239466884892,-0.44770912305569294,0.647340489456476
2014-09-01,1.793466526880626,1.3360903346401374,1.9766578437766844,1.087993377099368,-0.4623065337623619,0.43234263038947124
2014-10-01,1.5051451164467924,1.637181022747808,1.7534339411406912,1.1613781923157849,-0.7107007986163899,-0.009604389862679938
2014-11-01,1.8465757978495123,1.6556730669433195,2.664547033205744,1.2585274678334075,-0.3624684122987264,-0.3328814901260155
2014-12-01,2.5471327553394105,1.8796444294840682,4.136687605174704,3.2511219230732435,0.2577944168358836,1.9348554020720006
2015-01-01,3.261038070868953,2.88924298793283,4.4244757683747045,3.4216652680310298,0.7668601444419828,2.8998764925601033
2015-02-01,3.6906707992204537,3.4619230996045887,4.317859771410685,3.825167065973487,1.37705409843914,2.956045469817827
2015-03-01,3.576793160940601,3.390778113409514,3.3999444127602567,3.7385421585737455,1.5596692574902589,2.7497724806941743
2015-04-01,3.1711522352220225,2.9598497946724933,2.840846434657834,3.3364670547456114,1.123377684535038,2.2139954642734456
2015-05-01,2.625309787645536,2.1521159367038547,2.011212773749743,2.6281971299975657,0.4336821492571638,1.77618084520069
2015-06-01,2.1832219070375283,1.8805682097433023,1.3409835179313212,2.1726440238487386,-0.06771312100005647,1.3657532224632627
2015-07-01,1.959832855198637,1.4661993265318556,0.8096140382730804,1.8707968745134065,-0.19130936771937826,1.1924419602096925
2015-08-01,1.9172354185576184,1.1515289128537969,0.4790064235430151,1.755199190856659,-0.4237960309745834,1.049015076247803
2015-09-01,1.7696598184521068,1.2471487208160827,0.28923256347765863,1.693674573663251,-0.6082327320180537,0.9176533699967502
2015-10-01,1.6806925935277253,1.1960375842177031,0.28455576998925264,1.932347743494328,-0.7495096520949559,0.8640966757283796
2015-11-01,2.061354008094205,1.6689143028025948,0.4529764338952426,2.469922833099345,-0.3696657679338043,1.0994422305976745
2015-12-01,2.7288302938400064,1.7695702277865597,1.8785351466623048,2.561484295736341,0.4654053157628509,1.3710508417897997
2016-01-01,3.4725189621871926,2.9403952078351008,4.552847092260367,2.601949496869898,1.2768043162074547,2.2793196727176954
2016-02-01,3.860879594992408,3.0768501555359684,4.697473208229333,3.1139189859098675,1.537011206729903,2.382049598366862
2016-03-01,3.8532438991488935,3.1124127476696617,4.177759060091488,3.1175065887906794,1.4854004418360005,2.546924297894231
2016-04-01,3.5818422887876924,2.6331712840446424,3.720910164839588,2.9522510807676574,1.2133242628274277,1.8477161934987747
2016-05-01,2.848022537081652,1.6071688822843615,2.7965993231645374,2.6187828863107403,0.7124013995573534,1.0796894438520188
2016-06-01,2.4193020168995774,0.6986804388885771,1.5791750140673428,2.0576170451218103,0.34187378897167897,0.5661527873341047
2016-07-01,2.1976736406187065,0.002222105906472871,0.199953257885602,1.780660832142596,0.028172738296967238,-0.268676531555604
2016-08-01,2.0817190224465443,-0.1514542406961373,-0.09053785010584316,1.6042409689539785,-0.17605719721524027,-0.42728320649974605
2016-09-01,2.0805257947359297,0.07032444782473828,-0.08364201823171424,1.5452328080011943,-0.1966087852571177,-0.1534473449379552
2016-10-01,1.984139732424872,-0.39705570899511256,0.4525352245679672,1.3635505219321529,-0.28937933276575817,0.1760933214870124
2016-11-01,2.156360722894135,-0.3216586720403267,1.218833552350546,2.487027153907018,0.03954171453795344,0.8644855475355584
2016-12-01,2.876331632825317,0.9334478528911369,1.824134947263684,3.9447504008956376,0.7474934907356917,1.7393474789892815
2017-01-01,3.6882481080318734,2.724770161187069,3.9676327722641007,4.5423352957442695,1.5807174175796208,2.641908537905824
2017-02-01,4.387181135398595,3.2566159625432944,3.8844403109203713,4.521759883239891,2.113270445730362,2.994758430399527
2017-03-01,4.9208168370183305,3.293788085837132,3.514947875514791,3.7040202149381374,2.0368432203798084,2.8762965041581636
2017-04-01,4.759094747466121,2.9983115602302064,3.647686882037132,2.4173248343165654,1.7397195011068367,3.030416593263611
2017-05-01,3.9839670798139095,2.687504492638765,3.27761525547314,2.057161423049497,1.0848111636794355,2.2533420757361178
2017-06-01,3.5314239310651376,2.2401112284018923,3.2580137484616607,1.7532289196903184,0.6089735670653892,1.4099012362451733
2017-07-01,3.0187527615240413,1.6985027461483584,3.233272176353297,1.116246597455169,0.3468660045522147,0.7558348480343814
2017-08-01,2.6086418651736025,1.479053805274252,3.059771954484664,1.3319555339064602,0.0400784797900744,0.68807404123694
