,CESM2-WACCM_r2i1p1f1,CanESM5-CanOE-r2i1p2f1,UKESM1-0-LL-r2i1p1f2,ACCESS-ESM1-5-r1i1p1f1,UKESM1-0-LL-r1i1p1f2,CESM2-WACCM-r1i1p1f1,CanESM5-CanOE-r1i1p2f1,GFDL-ESM4-r1i1p1f1,ACCESS-ESM1-5-r2i1p1f1
2014-01-01,9.4720905911374,9.843973678350677,9.539743068047807,9.53019949908985,9.934161140223294,10.607240946548341,8.262091780443328,10.059425902997562,11.418691963355634
2014-02-01,9.703788643485753,9.753451005332881,9.906344176614317,9.110217033170825,9.83204959896897,10.109192318178108,8.011208444143946,8.982658840887163,11.158952417569218
2014-03-01,9.542338573766463,9.8600075171754,10.32645214130392,9.075637062759352,9.995493444531359,9.634995210387686,8.334794638124599,8.533061230802113,11.033023361927992
2014-04-01,9.82963215248347,10.089317722478848,10.605936863970745,9.595716619848023,10.637729311703767,9.915726891250307,8.89544868400676,8.838612895478049,11.328741771308907
2014-05-01,9.81001772450876,9.92091609966044,10.519431703033575,9.6692179180943,10.768175117346908,9.718297272173118,9.012584417539756,8.951559066683489,11.08585834016107
2014-06-01,9.746132075435053,9.697914127751476,10.06268235468151,9.376338011971892,10.413052232279083,9.280549452123902,8.906728430582003,8.367191517446301,10.35804726566895
2014-07-01,8.958640356016586,8.77467477730767,9.155512603440602,8.712686997581034,9.454909979032713,8.482537541529505,8.116229029443026,7.626137988521737,9.44052269955458
2014-08-01,8.135929619467834,8.19450492262247,8.470482209406288,8.194105829336603,8.669588824061307,7.783844347254938,7.628940801504152,7.356649310087142,8.880467029749221
2014-09-01,8.8429059557121,8.520648240333863,8.648490546094777,8.379225008577912,9.09961168387007,7.7773208290016465,7.870351423290543,7.5740356719416715,9.242137976833527
2014-10-01,10.040718450153543,9.581991798672313,9.933908973774088,9.73950210002825,10.767861296842401,9.124953749054141,9.566130902541099,9.207854832266186,10.68419875696514
2014-11-01,10.65698445624746,10.111561179268662,10.808735719170599,10.464904131423165,11.198137722819581,9.922581404347596,10.41234075702544,10.436198946444351,11.585670192453643
2014-12-01,9.380032259505374,10.23554734757139,10.802627029953824,9.633680447692418,10.124284752470627,8.937176444636352,10.157690142457431,9.610024356557883,11.084486827831036
2015-01-01,8.475706149186014,10.327255443633318,10.688998179726477,8.884701790968471,9.766003777791182,9.120437631287473,9.1951161705141,7.741973993349394,10.65932374293974
2015-02-01,8.646430123962572,9.965371172664234,10.656176521759587,8.919224581857081,9.269887975501305,9.514301531695018,8.944253897525305,7.176181981259796,10.556731826634605
2015-03-01,8.335396939996278,10.233189927405585,10.930538604117222,9.065641287711221,9.394896497809057,9.542141287548773,8.960866573021992,7.383037548492713,10.31144585120614
2015-04-01,8.882937647689845,10.691141459372302,11.029049996078744,9.469252778807274,9.833735597252026,9.745687403371187,9.374590715838284,8.04873193888472,10.606220240731748
2015-05-01,8.930427429385668,10.625436657687954,10.712194731820762,9.260734645588236,9.816445033391416,9.777437809764466,9.466885953573069,7.847711819875224,10.544249714074185
2015-06-01,8.695945641249041,10.228307490643763,9.947486527933716,9.012757347197047,9.443096574711657,9.619504433267377,9.341362094384152,7.75099975914195,10.04808863119612
2015-07-01,8.049603460728669,9.308109398698953,8.92725818463969,8.290975721981738,8.708109096492453,8.928964612183472,8.58252033924289,7.525338382862871,9.216922132600322
2015-08-01,7.5369817680936775,8.678127975311881,7.94575495500848,7.8691541879887374,8.31823310115414,8.683649402423884,8.012431398241674,7.184505819199558,8.72307118623091
2015-09-01,7.767917054052527,8.93803885871352,7.969283202605228,8.06459606255537,8.817425043891994,9.531274584963244,8.185749483105656,7.459160419673388,9.020679900041031
2015-10-01,9.127512992991768,10.251546127819234,9.26796363866142,9.45524104458278,10.606229048798427,10.786283663412759,9.609574716600832,8.877337622253613,10.359065547198142
2015-11-01,9.78278187461456,10.8975305516268,9.981497325744428,10.130715071292565,11.65494903083652,10.582169854876453,10.637578083922604,10.04443232303501,11.180038494665265
2015-12-01,9.599994198106742,9.34038026144382,9.66005678185444,9.245168455048752,11.248098445004306,9.85428336585835,9.350409103269424,10.027678343625569,10.57910746988038
2016-01-01,9.827954424275807,8.285435583735444,9.898977724760467,8.767513503868491,11.205510167195888,9.904153723633737,8.460207205197657,9.735632138786213,10.191851629726704
2016-02-01,10.195369963905604,8.161661181656118,9.681289968646963,8.536071476364107,10.9341585505654,10.521691081238892,8.368170020008634,9.016105695529939,9.910990955565307
2016-03-01,10.208957897778491,7.910562496500486,9.391385584677698,8.526186885598872,10.567891919136557,10.093484283300024,8.273536585632732,8.729982912493405,9.89867606305592
2016-04-01,10.616284064819023,8.461967478266818,9.23236498280863,8.883174298130774,10.801437795133367,10.251268712012793,8.621904161621595,8.945732186643408,10.331566475127081
2016-05-01,10.67717009664052,8.494740752470975,8.887875804362881,8.928994433847626,10.524194224082995,10.31905020966772,8.519476068608709,8.948770759120684,10.161008016178211
2016-06-01,10.226962746900707,8.218320787947505,8.679137805174335,8.63401607440704,10.015874729786944,10.015779904163832,8.137633412561794,8.723659294558422,9.651663963567465
2016-07-01,9.400269699707456,7.467334059435687,7.70585326133126,8.016715325008494,9.176984502296454,9.463084583638839,7.4507761660591925,8.16777689309947,8.732402317967562
