,ACCESS-ESM1-5_r2i1p1f1,CanESM5-CanOE-r1i1p2f1,UKESM1-0-LL-r2i1p1f2,UKESM1-0-LL-r1i1p1f2,ACCESS-ESM1-5-r1i1p1f1,CanESM5-CanOE-r2i1p2f1
2014-01-01,5.8398715274350135,4.589370777594722,5.6408745369495366,4.41396798966484,3.871422040890264,4.389243533581002
2014-02-01,5.869072317997865,4.7063099389483165,5.593621904834638,5.083032270710956,3.38761800375224,4.485103304527208
2014-03-01,5.830206880714616,4.853268083170487,5.728608254675929,5.286932983033717,3.201249520341261,4.516869639839756
2014-04-01,5.5910007999588345,4.643212959516132,5.424210598881551,5.197732611242162,3.1805371741554187,4.350293794062803
2014-05-01,4.825431797732191,4.075575612248237,4.6397147667553424,4.3404749738631185,2.726414034456057,3.6438912710028695
2014-06-01,3.973070923109789,3.622064825489009,4.175513949741276,3.803368734809735,2.3098276526127424,3.032044178958789
2014-07-01,3.5134538560316457,3.0781806522267368,3.712778605914087,3.230991373822044,2.0372188150616943,2.5599502942967174
2014-08-01,3.438067011350125,2.8232629261650994,3.4652462926733656,2.8105190984572417,1.7486858524796736,2.285571418811812
2014-09-01,3.3085948346614615,2.7643229478881235,3.3629954750162607,2.7103313096656936,1.5201965345499218,2.1792480598883786
2014-10-01,3.319957239294605,3.086163376451088,3.4076137424496613,2.9778131960472636,1.4335701815712796,2.1488633859843898
2014-11-01,4.025798461038054,3.8215285464719617,4.469865343718997,3.5886271546041155,2.349187243279956,2.7643113081959694
2014-12-01,4.8521824407822045,4.438533024319233,5.9603417456332215,5.153491623376413,3.1527387555261237,4.458087453997539
2015-01-01,5.329048184865719,4.997253217675555,6.0697458058706495,5.389563847936537,3.4567187273878504,5.023841432206802
2015-02-01,5.3908519383701945,5.103641622724507,5.9449659871952925,5.589338263437071,3.5873197196114024,4.858269590089261
2015-03-01,5.370285871677117,5.08986480598863,5.480851406818519,5.523116860438285,3.780430333255413,4.782146254183518
2015-04-01,5.101965184133847,4.839741211741731,4.849593906066499,5.208531644991033,3.6029466864520567,4.35868541727754
2015-05-01,4.473053869520535,4.147941661868281,4.0423407950190064,4.5437374825921,2.969637308718728,3.883107009958247
2015-06-01,3.8737546113953183,3.673610585574861,3.2851113295388785,3.833279903189886,2.1564309959401617,3.3824107644336268
2015-07-01,3.4123681692104446,3.1334815319190867,2.7089340750496618,3.343507765480732,1.8246945817310976,2.9716085956906655
2015-08-01,3.4103835383072667,2.7884323891372533,2.3750908930979007,3.208884942271502,1.7482908954606815,2.729928071239539
2015-09-01,3.3462569096104486,2.7789561649461105,2.2705677893604417,3.122530302435768,1.5332933055769449,2.601238364204699
2015-10-01,3.4343230131477998,2.837360535684904,2.3541813942666154,3.4203734783423743,1.6090844871436265,2.657118051935706
2015-11-01,4.289711368400727,3.711874507572039,3.132919908458064,4.367832347303876,2.4509370623231432,3.407287931531952
2015-12-01,5.120155888672191,4.1370623754466695,4.482728739549291,5.083844256157517,3.1584398812846612,3.8616559065935396
2016-01-01,5.579708590103369,4.616067948922663,5.893060406630068,5.08803061380134,3.611947430394853,4.211356981394903
2016-02-01,5.5380070577600655,4.380701722742156,5.9944930497192725,5.203986961941614,3.536059993824674,4.088798811607366
2016-03-01,5.643965530060142,4.517179681145613,5.821548078555224,4.971343731320786,3.7673491764600207,4.216469638904936
2016-04-01,5.4410135716339845,4.2977229518793365,5.4652339776164345,4.946174818630675,3.624553732500885,3.9340903382713197
2016-05-01,4.675741566341522,3.437918342870617,4.538977997698362,4.648284232028189,3.0558990803714674,3.20741465399443
2016-06-01,4.0772429906204035,2.721739679363067,3.4433012954764424,3.9468893974373196,2.5606141748238302,2.6535784532959052
2016-07-01,3.624708810101376,2.1005120175190903,2.4186215009590404,3.4308341057593434,1.9572776632320472,2.04695895411432
2016-08-01,3.523303695391866,1.8947214510463533,1.9649172260966736,3.183002571495279,1.6860190464018494,1.8143443824822805
2016-09-01,3.5146462717982216,1.919748172227405,2.0196078557405244,3.085945311217455,1.6986307609060145,1.8401529126383345
2016-10-01,3.599589811392832,1.8928467823601336,2.4368069994176293,3.060650812584067,1.7940023234551472,2.1537112970270127
2016-11-01,4.334911393833624,2.566947454425811,3.608943630491232,4.370334174845486,2.6729755391497947,3.201680974142013
2016-12-01,5.13182484315009,3.620780396344194,4.3526783001907114,5.663233853531064,3.5416419356768967,4.069842502203444
2017-01-01,5.687862708330544,4.706980705621191,5.6965907932095,6.011641292443381,4.102535279405319,4.668574565487747
2017-02-01,6.178193620406632,4.848433892334771,5.7089711733834125,5.784458721174945,4.594300511557139,4.885191532364795
2017-03-01,6.903005708459277,4.849070968938144,5.571882353406024,5.498888490922392,4.371296263629706,4.8277712918690945
2017-04-01,6.658104141989747,4.785910988321443,5.567147225006443,4.654088080918988,4.157890503365264,4.846519296663059
2017-05-01,5.711804628724327,4.484700548686319,5.0324475799974975,4.087677980581718,3.686471439515608,4.151876631261084
2017-06-01,5.176477663123947,3.9418759860107735,4.682389713514492,3.6553517806048434,3.015667421173187,3.363435445780182
2017-07-01,4.4151316867442665,3.257542012717213,4.4065533569295985,3.0448528683207714,2.3730015480485407,2.5836284575931443
2017-08-01,3.9745346113780022,2.997962505308715,4.042972953238609,2.9930269494610733,2.042624837998272,2.4370943218012022
2017-09-01,3.758803145310506,3.030341952069351,3.684060823293264,2.826754323244875,1.881389518997808,2.3465160718819194
2017-10-01,3.7997106642437166,3.161539793442273,3.76542364836945,2.7235154975282487,2.0950044315774528,2.3339674469294898
2017-11-01,4.709897644944057,3.8612873412053577,4.650621156613282,3.922964493542784,3.018641458131709,3.4441923135400536
2017-12-01,5.6164203838610725,4.946691335236915,5.585203230137311,6.057335361239967,3.9556952200865183,4.0196560058387805
2018-01-01,5.9525113503727285,5.391840298195967,6.130785444837412,6.556693573025521,4.447790916039093,4.429289069045197
2018-02-01,5.961465004821743,5.321568547710922,6.1492063574161095,6.045052574104362,5.101024132409613,4.672091371310188
2018-03-01,5.711278561594938,5.4507597799555185,5.601228083285849,6.018617144036187,5.526357101973718,4.663491203559747
2018-04-01,5.514618554460638,5.121699124118215,5.371586600702004,5.729320371980034,5.137389825438015,4.508317397933611
2018-05-01,4.941025526112172,4.482765829319242,4.731266602589387,4.952048611340249,4.255243011385057,3.9582041615018912
2018-06-01,4.362217291661315,3.933351415902714,4.180508282262196,4.479544927630098,3.4564055393206634,3.149736993760076
2018-07-01,3.902217846531331,3.4801793133203467,3.646035857084708,4.2231441928455515,2.5864995864693547,2.42036539127477
2018-08-01,3.7030171983670814,3.2358191509610745,3.316420742597012,3.8264748136264046,2.3051705768303044,2.147192126628509
