,CanESM5-CanOE_r2i1p2f1,CESM2-WACCM-r2i1p1f1,UKESM1-0-LL-r2i1p1f2,ACCESS-ESM1-5-r1i1p1f1,UKESM1-0-LL-r1i1p1f2,CanESM5-CanOE-r1i1p2f1,CESM2-WACCM-r1i1p1f1,ACCESS-ESM1-5-r2i1p1f1,GFDL-ESM4-r1i1p1f1
2014-01-01,9.588561520036144,9.262082038379477,9.703414636336145,9.603999960952333,10.020548876673077,8.162208394419658,10.384279810013727,11.370755672221724,10.077903772352936
2014-02-01,9.528184725227561,9.517493787512448,10.256477607701155,9.15316688433616,9.902660216080463,7.91689757513949,9.934807676360792,11.311257287027798,8.835309737037555
2014-03-01,9.832547113488767,9.294783187840086,10.69881336723596,9.163603493002556,10.21917826799589,8.327445000191766,9.521409960324883,11.445694939121951,8.498821742419908
2014-04-01,10.083538960212005,9.543991032153947,11.008680141981769,9.668375791810716,10.855270927889464,8.969272418689519,9.730955261475383,11.691454728246956,8.84052959941855
2014-05-01,9.956054274821883,9.57961430280147,10.756934554182658,9.762299897814792,10.849829380096017,9.078784530768196,9.5923181333194,11.155137286671719,8.790312965177174
2014-06-01,9.478479188163623,9.531567171563632,10.341794238704717,9.494607948370863,10.51646211593479,8.797100726826077,9.134801595821644,10.496382543783476,8.258428257149818
2014-07-01,8.770197170261081,8.77276654785016,9.35564008547124,8.835075613753638,9.662971091362216,8.10686581759591,8.37251525520673,9.531940295559027,7.54548013956888
2014-08-01,8.258875174060169,7.920551118737434,8.558109089801581,8.261614751152223,8.854058866082799,7.542728562179207,7.719480532044753,8.964702768655131,7.226303771065028
2014-09-01,8.539192534727428,8.639307643846468,8.676493323982568,8.481151303481035,9.203240320360493,7.894039794099967,7.759289704843633,9.262417696793051,7.557957970397784
2014-10-01,9.673783743401145,9.796167134042149,9.96320964407536,9.809432765549564,10.909836607741752,9.575460938076937,9.0375110357049,10.703929143225366,9.025120254616796
2014-11-01,10.083267116657506,10.353212863716939,10.974116578741548,10.482429552043065,11.409540684058435,10.400628328012925,9.675295513150573,11.578762544814394,10.311591858241915
2014-12-01,10.131003077601507,9.216422851171368,11.111619883269494,9.670902859167557,10.082174612296416,10.28229388333877,8.691499446642613,11.112779247443953,9.419396286191093
2015-01-01,10.291158915640823,8.146053689821485,10.782526466431284,8.979287494467545,9.741910202646963,9.452884194104925,8.973545886986194,10.798624471377757,7.859506389397245
