,CanESM5-CanOE_r1i1p2f1,ACCESS-ESM1-5-r2i1p1f1,UKESM1-0-LL-r2i1p1f2,ACCESS-ESM1-5-r1i1p1f1,CanESM5-CanOE-r2i1p2f1,UKESM1-0-LL-r1i1p1f2
2014-01-01,6.546428243280378,6.2409693740664665,6.717286938526713,6.102268136934235,6.359704835239558,6.341631782559658
2014-02-01,6.748539602250389,6.4508030325006125,6.796999017653057,6.459751617679768,6.670166959771168,6.308717376127286
2014-03-01,6.872004211915437,6.598943122123322,6.6648057600043975,6.749145852040023,6.745432001097587,6.658506033085061
2014-04-01,6.878514306336231,6.679246144310778,6.544580726311263,6.865541151814437,6.783512863103367,6.511329940321951
2014-05-01,6.711083630872152,6.499293025025325,6.320917190497624,6.42306810533118,6.525029904295874,6.513182950030167
2014-06-01,6.572214811985988,6.335215093606414,6.029284663795959,6.1329923978477545,6.352921923766782,6.220743121667367
2014-07-01,6.461209284175483,6.296137245392798,6.166287125635645,6.302069079300697,6.256481953548811,6.23011968780292
2014-08-01,6.444392327228208,6.1646250046652815,6.243957790943719,6.3128133092198055,6.222095441471023,6.2461750606423605
2014-09-01,6.263614150753894,6.107068107095354,6.1296662578876795,6.216794887746447,6.1309629241882195,6.028383753689496
2014-10-01,6.210060252837362,6.21919454021524,6.184074531134216,6.2451801984041895,6.199196979556171,5.920608982589978
2014-11-01,6.207963013487662,6.276931432242908,6.050825434255053,6.279956349686876,6.119056105418643,6.018359712286831
2014-12-01,6.334829158652218,6.419316567565815,6.345669425438098,6.3160085943844875,6.244367844584846,6.134053783898776
2015-01-01,6.496842048217754,6.452698432818477,6.521238646356525,6.525975161572771,6.35824231629869,6.4250656335527445
2015-02-01,6.7065909644571375,6.583210213632448,6.6508741485417255,6.7955316380446495,6.4615501127919215,6.2847380921183635
2015-03-01,6.71213755920959,6.7362419991177775,6.6910604293427065,6.799679529768685,6.512530963850375,6.501589342128134
2015-04-01,6.731830062209184,6.799327150171862,6.668078013468302,6.841334965284696,6.6288123284863305,7.032024455276821
2015-05-01,6.501497004975861,6.674971016479148,6.267608948068963,6.523626844914089,6.517816634342518,6.8704148579356605
2015-06-01,6.226381011891043,6.534930104151252,6.089391605229293,6.201101428816988,6.173827478427643,6.646050552072162
2015-07-01,6.292314403081889,6.251240099855693,6.197452911869823,6.213153950660537,6.26813950488836,6.591097946481006
2015-08-01,6.304939189637297,6.234146303469927,6.234561186600218,6.310031894775503,6.325732274666564,6.503085821387672
2015-09-01,6.259147940137668,6.155767298151861,6.076552577088964,6.081782538475405,6.155174922988452,6.290749252211749
2015-10-01,6.3017260713777326,6.068199248570888,6.138068242335689,6.0932776000548685,6.185709312220049,6.2021570324932265
2015-11-01,6.3044087591493945,6.283003912916961,6.297308413887402,6.012923820952655,6.13133146762083,6.0312622221573475
2015-12-01,6.452340303578112,6.483788484512003,6.488446087040344,6.392490127782612,6.284560146017967,6.082934710117654
2016-01-01,6.602053252730659,6.768828048056264,6.579460122830191,6.621652980283603,6.403404834602426,5.993238623244299
2016-02-01,6.813748663125362,6.9313506528914335,6.79528570076999,6.639246536745597,6.5489402484558,6.185929982671257
2016-03-01,6.882536592067587,7.088800339137733,6.914672373183602,6.677418682468513,6.597812421078341,6.800320302311422
2016-04-01,6.9358580619225565,7.045030852798562,6.742651768615878,6.724510084815912,6.635711210745787,6.534610306012657
2016-05-01,6.6971267935341725,6.732278461979799,6.54857554895209,6.786304582355517,6.490860012062606,6.223687389867531
2016-06-01,6.208098458299121,6.324264787611724,6.262227049511181,6.509036355548879,6.233451047969818,5.921254922057618
2016-07-01,6.084462559193997,6.541985546370256,6.193912147610067,6.380479763997244,6.181278307081635,6.018034502808838
2016-08-01,6.1372727982739095,6.4144214429888615,6.2404544188145685,6.228013146478652,6.150342636291863,6.168565815897208
2016-09-01,6.085710971642171,6.288823278612001,6.21104258434105,6.267251661329312,6.0706389509267655,6.237222730329852
2016-10-01,6.23840778041633,6.434018858705901,6.214119579410522,6.288940239596047,6.029542232476933,6.106389387191602
2016-11-01,6.119923732747639,6.414123577318296,6.1408926705181015,6.4034613732788985,6.047520149690609,6.142781936587574
2016-12-01,6.267849103991476,6.393472158008791,6.237157902974165,6.496229582160855,6.126181018372166,6.484139765237633
2017-01-01,6.492576383160522,6.28423820147484,6.2473837241677925,6.750556359724087,6.250019606898812,6.593251933613666
2017-02-01,6.701568255873468,6.489196714200284,6.791689394847612,7.13259157132569,6.429200934658105,6.98141915414054
2017-03-01,6.810767042960608,6.525629997709056,7.203564750091907,7.193861817023732,6.634899538783566,6.954793521774164
2017-04-01,6.916780388463303,6.542288698751928,6.856329698671626,6.954148787472171,6.810876650170855,6.879033925285648
2017-05-01,6.8501389868894815,6.457196980905168,6.57182570568973,6.635303038958181,6.743016883482937,6.6062180050158394
2017-06-01,6.55336437951491,6.250642971858479,6.373525821308796,6.383597079707843,6.3865487202397135,6.434914316034257
2017-07-01,6.705341494483893,6.186502968733325,6.476033801474848,6.461003521340821,6.230546320872599,6.366289665133638
2017-08-01,6.5432306088745165,6.248861185714913,6.355371791783543,6.447912608510351,6.235703300792612,6.3173079192900365
2017-09-01,6.261964840687426,6.169705784261694,6.151186303917594,6.270902188342812,6.199852608638777,6.336066392033895
2017-10-01,6.144793298789854,6.1367818963837175,6.18256089040653,6.281198673130715,6.141999617483398,6.233588978116643
2017-11-01,6.243634547749736,6.166289771639104,6.1020521647007975,6.2788895264652576,5.932875423166838,6.241718503553656
2017-12-01,6.401816404735613,6.482481811922831,6.116048762923822,6.475442143730153,6.1609755282185885,6.4476552239942135
2018-01-01,6.607473108054253,6.550418658269538,6.248245931328468,6.472251541984843,6.312152102558264,6.460521992709455
2018-02-01,6.811218897825893,6.707118893115157,6.667190762638347,6.8274405288464814,6.51636212093443,6.652442147131481
2018-03-01,6.963809003230506,6.6492068447671375,6.895236592145896,6.940165220525207,6.621134570395542,6.912341872897865
2018-04-01,6.904280620285867,6.5475969011652815,6.660627401033152,6.960289936314258,6.688792276864624,6.959415722516165
2018-05-01,6.8236616158342125,6.382958297205922,6.622548518265524,6.68486323109759,6.607187313463278,6.757553971508184
2018-06-01,6.6263331158503656,6.213959055344915,6.2971940815825365,6.526028626288017,6.28036845436228,6.52149058158408
2018-07-01,6.648255684921421,6.14416682606437,6.2433085924494875,6.299120569472207,6.263301276018276,6.408285399246137
2018-08-01,6.523360010942447,6.3058115814830815,6.196458078558584,6.217674558345429,6.2272218393501895,6.455898909855964
2018-09-01,6.307109560456781,6.2006229671485125,6.217070415311143,6.172070854488374,6.074315035053158,6.314884461440087
2018-10-01,6.127489463053899,6.137857752547747,6.1314262500815415,6.18171921326766,6.035733052881433,6.2375601532003335
2018-11-01,6.1779948966661005,6.145855685911138,6.233029987329261,6.067046018514314,6.038937892615932,6.283346333973433
2018-12-01,6.39506300145914,6.4301474807531225,6.445644402852553,6.189075955584116,6.119587044065892,6.350801112458065
2019-01-01,6.53846863126732,6.508780206832802,6.5829840419809065,6.526198923949182,6.257884262830143,6.502519649456722
2019-02-01,6.765521715495956,6.765579578227217,6.7075409350379145,6.844752046841117,6.397514473807175,6.594946987970146
2019-03-01,6.895960484662553,6.702043533802232,6.785861771110755,6.9374649864320235,6.5671946302133355,6.705430497178898
2019-04-01,6.886591554772832,6.772477067617241,6.535599829192848,6.959534892436488,6.6241388653965325,6.524608517863043
2019-05-01,6.846564592892673,6.268444981735969,6.542240856863352,6.747611298517754,6.342441127842842,6.388380234724894
2019-06-01,6.469200198944192,6.13979076655491,6.140216468328817,6.578438482734126,6.089869547830928,6.080607435748724
2019-07-01,6.372930988044906,6.150899021550663,6.0974411619281055,6.496143015913052,6.003237488780272,6.232791190887416
2019-08-01,6.327930803902664,6.136214044947496,6.133128368014862,6.431134807592034,6.131912527284838,6.243098956464941
2019-09-01,6.142018416648012,6.1984582886686015,6.1103020574664875,6.537975653798223,6.242940784491952,6.149022426260502
2019-10-01,6.161220867564392,6.0652975041293065,6.017080024486513,6.370449642805432,6.131703858028658,6.202130981498464
2019-11-01,6.068010389933175,6.092021866106408,6.124243461800666,6.3659564434862475,6.163867914173705,6.052079197914516
2019-12-01,6.214715315099156,6.042973750687913,6.367338183251605,6.666918553542527,6.319702220977328,6.354654188509291
2020-01-01,6.439954693033331,6.282752201225637,6.6486201733913886,6.8730957452714465,6.442111269700912,6.2424331642224296
