,CESM2-WACCM_r2i1p1f1,CanESM5-CanOE-r2i1p2f1,UKESM1-0-LL-r2i1p1f2,ACCESS-ESM1-5-r1i1p1f1,UKESM1-0-LL-r1i1p1f2,CESM2-WACCM-r1i1p1f1,CanESM5-CanOE-r1i1p2f1,GFDL-ESM4-r1i1p1f1,ACCESS-ESM1-5-r2i1p1f1
2014-01-01,9.741623857029973,10.06607684096001,9.735673642656902,9.84782582956936,10.10119856526408,11.006728630969794,7.9364773862967075,10.828985425179784,11.074845780547994
2014-02-01,10.006873607906368,9.971693496413824,10.307864217791732,9.60035031152497,9.90848553887728,10.635756038578355,7.743350296310912,9.362980455957207,10.815437737598408
2014-03-01,9.54884885235674,9.765730506233282,10.314282515770909,9.29629723941952,9.85593190225591,9.928103793415676,8.171516116118635,8.284697931368626,10.549255301278341
2014-04-01,8.811376401172543,9.048681943868397,9.688461409150102,8.666553587849307,9.379272495988646,9.074173409772142,7.77731693354785,7.572284616075407,9.844783678510618
2014-05-01,8.334548102276251,8.377047018080344,9.097781094859918,8.167636543994625,8.92137748058328,8.41555561874541,7.244818380543218,7.157408169715872,8.976902868863158
2014-06-01,8.21857111811482,8.047003549832427,8.648928391685708,8.037359447296973,8.655764958155945,8.031978072934338,7.1782487491047045,6.756975944215966,8.421476241942072
2014-07-01,8.083019819634949,7.8719084229699074,8.334780829697491,8.007426145646242,8.442200604238181,7.815664462422325,7.061045079677181,6.626238854644588,8.128016708277608
2014-08-01,7.804036491514598,7.838695291374334,8.156949467288905,7.960742599515424,8.346276813486522,7.6586183030331325,7.0188492987277415,6.824429956569843,8.03334143714524
2014-09-01,8.255683661546584,7.857899932213478,8.000828050726934,7.910538215274498,8.344051110989982,7.384795174491881,7.0615809417045625,6.683629520321372,8.279785362394499
2014-10-01,8.293469495918371,7.824369323048263,8.048153035311309,8.10339859197639,8.748639860133482,7.294392984132058,7.639068173416767,7.183523677206166,8.608198401461777
2014-11-01,8.778405386043996,8.084131666369487,8.937162542237443,8.69759762086177,9.391313018630854,7.984295576096603,8.385345126246424,8.460188379477126,9.455774548195647
2014-12-01,9.198468034455304,9.859372792836806,10.57381929545484,9.569946079281092,9.750416050433488,8.556787923635651,9.84570230859156,9.314408647806736,10.494921768725156
2015-01-01,8.837541443273684,10.59393991176584,11.019364843666864,9.75784341882569,10.026859837738947,9.64297772569893,9.249847165621286,7.789224519606563,10.804760733842045
2015-02-01,8.95454394198396,10.109621064734947,11.000872365598537,9.676018251642896,9.248271910630477,9.85748534852242,8.841888324392535,7.13551401002958,10.533648690345018
2015-03-01,8.405179121273882,10.199341642797188,11.05916765521209,9.305213194952664,9.058018980653495,9.644142364404717,8.553187668454884,7.050400048498353,9.92201266483039
2015-04-01,7.7590181854216205,9.668207157498014,10.346718208102187,8.564116456652545,8.483848228440898,8.835976100277675,8.158932238025628,6.701533513657522,9.299547449546248
2015-05-01,7.238657332168871,9.142530863913453,9.51791799829198,7.578793818474018,7.964737501173087,8.357776850177244,7.744646990328794,6.090131508036633,8.626631498028573
2015-06-01,7.3131709197005454,8.835244982215071,8.89678700352729,7.536758581790215,7.761084337437204,8.316569412710649,7.720978664171687,6.011274990631972,8.375055167891773
2015-07-01,7.247665077172616,8.487985382163446,8.350548026788816,7.390412484967568,7.6676842124329365,8.241952016679539,7.55024091216824,6.3935924710174685,8.273830461996717
2015-08-01,7.200816351667384,8.316991017751901,7.9294883994351615,7.377309015926706,7.9052804604277584,8.420643681446284,7.525817553459679,6.595968696079061,8.426280376149577
2015-09-01,7.082734980539931,8.286316396352026,7.5700169915421185,7.400892864471046,7.97420208238838,8.932789381266625,7.5412133388656235,6.613028472212558,8.397431620297006
2015-10-01,7.019811036529622,8.502994797795715,7.675533609206552,7.594515763391018,8.574384298749301,9.06169759030023,7.811918268448207,6.759848675266986,8.468288740805175
2015-11-01,7.674327296877411,9.065139178329286,8.05981756090896,8.198680829430023,9.528902150892565,8.718473184373847,8.764581416338064,8.09905758982449,9.098494744574502
2015-12-01,9.194510192101193,8.891433099714993,9.365489404533518,9.12476254069082,10.648980149238067,9.322969569772168,8.792758279751746,9.559399075890141,10.037808290594088
2016-01-01,9.978695862891607,7.998551960787977,10.24350772560787,9.344712854375246,11.566095260256688,9.8591581154784,8.628969554341214,9.973101811705057,10.276910130306804
2016-02-01,10.146250567856553,7.876298521672865,9.871602855519207,9.198362132650306,11.110036555346406,10.458374391606043,8.339684626551467,9.234094467668628,9.982259599677205
2016-03-01,10.033342154824604,7.330422822103237,9.32032816105091,8.699725500718403,10.251900962435986,9.831356372054383,7.983037154809445,8.275998583510813,9.563621624984897
2016-04-01,9.42592556566206,6.926345596495699,7.973427669037987,8.022225224016386,9.390284184857821,9.019267120526367,7.551263938671943,7.545490526359308,8.835929533251646
2016-05-01,8.99377563139786,6.3830308727635865,7.420780963263867,7.6146327221087455,8.653030735635253,8.52330872613574,6.749988450112845,6.994917236886897,8.253006982068932
2016-06-01,8.70430993032268,6.36788564387654,7.348873256768055,7.586235542631986,8.344827242648906,8.433782992600706,6.405763599388112,6.8650967848615085,7.835937422899006
2016-07-01,8.645412814691655,6.343220945263821,7.212456404451215,7.397061862172277,8.19633544478657,8.486843369571705,6.360861130713892,6.970703475481737,7.433163386238048
2016-08-01,8.615187989486559,6.7443994566754855,7.112522077333442,7.244553772833452,8.147965753076011,8.695938453932689,6.446929573251557,7.114727645354368,7.426358412980375
2016-09-01,8.654808161839389,6.7761660906353525,6.981108100810621,7.244842052770755,8.2354577731094,8.52116573105811,6.636789541127569,7.205175331081152,7.487988412953519
2016-10-01,9.351935120969603,7.052928587001653,7.5187234572049055,7.421691298209585,8.30678175992025,8.292304406036028,6.445933703611312,8.232061030274958,7.727978725196831
2016-11-01,9.321795553143954,7.8441672370921625,8.886466118653253,8.191028121933401,9.290410217567207,8.752638199646679,6.837713140860803,9.290856918377836,8.368672042781212
2016-12-01,9.748049501850476,7.862925955556588,10.527033885845082,9.134257789458758,10.028947718562804,9.31858445486838,8.208894717655799,9.934827174707218,9.303305012519361
2017-01-01,9.011672198528542,8.73130711999809,10.938996630276012,9.375665181741745,8.824492518074177,9.876145100525553,9.029620320740717,9.860778053619626,9.707598734732548
2017-02-01,9.379822662662583,9.572181377871498,11.289840717797814,9.097896327634537,8.093723479104293,9.623072154383358,9.527995913266214,10.527734917428688,9.724065179927171
2017-03-01,9.05508528699182,9.62955486634386,11.790726049354205,8.689467325771675,8.673535212869888,9.389395237120825,9.276618351374935,10.636014454705926,9.46147848704899
2017-04-01,8.583283249732759,8.607226821210308,10.963173704898525,8.025964912551974,8.47688192057811,8.78705859862928,8.495122697695976,10.133908482511707,9.195780922935176
2017-05-01,8.215065019321191,8.12450534568293,10.171584235553665,7.553783443352108,7.565416199617922,8.240067672229188,8.026459498204748,9.405224759145792,8.993770071655213
2017-06-01,8.150605447871717,7.853449310383303,9.745010752432552,7.4215967624349455,7.3637734669891906,7.984943845798599,7.6998023602768155,9.21723985235246,8.67772461038824
2017-07-01,8.308754785145531,7.7376986218915125,9.310379565842734,7.071809838019289,7.2306067543676225,7.865122785910535,7.379028728499541,8.447947460291731,8.159339899810377
2017-08-01,8.295657979982316,7.793776817438784,8.95813436340558,6.927873065747424,7.271036105210147,7.877267488815112,7.088436305381353,8.12012016271668,7.691587689936734
2017-09-01,8.34004953083659,7.853095801032622,8.552202239469802,6.978271143937091,7.356480257327568,8.1021370690598,7.063550738750706,7.580396659964538,7.615906070102913
2017-10-01,9.438807799683184,8.011754861223112,8.575413322190009,7.162948833216912,7.544239218495594,8.947215772897051,7.168966716378968,8.062791539741292,7.920789437903364
2017-11-01,9.627606823992917,8.875373020307192,9.267987150353747,7.865473642119964,8.541844760800007,8.42449127368382,7.708294652690112,7.998612792468804,8.62350319783565
2017-12-01,10.19493007318856,9.37793331564836,10.061389673986367,8.529032283809148,9.633052776717404,8.861602474207254,8.966413285105551,9.00865619159228,9.820830884152496
2018-01-01,9.647664289399158,7.966294317042882,10.644060594540829,8.70632478487163,10.087649065514519,9.476673026786415,9.451658770291653,9.007763707491911,10.087055082381989
2018-02-01,8.92926978270193,8.178495645693411,10.98105450032885,8.615003482743232,9.596902488662208,8.983002693904066,9.013459379610056,9.56178628612309,9.843599779710704
2018-03-01,8.374680501108706,8.304637505173737,10.959858810693794,8.338594245435429,9.273625378800585,8.52321750683244,9.30216101109498,9.28781887804953,9.443841133074935
2018-04-01,7.700818689736326,7.61190612316161,9.931654635311057,7.640371093645498,8.797669601273535,7.933765250860892,8.616670226197815,8.645296984102519,8.837123840595861
2018-05-01,7.089189250097394,7.1273830635253175,9.297411411344743,7.09746876984046,8.300591799128085,7.496615453401697,8.266820715296296,8.287944469593238,8.361729411961624
2018-06-01,6.820079852134602,6.90343617057996,8.884834586166141,6.9768339720025905,7.936319153558745,7.420018201942622,7.906687504387461,7.909414744326142,8.03402059652182
2018-07-01,6.8310479215076025,6.813709606759543,8.5681934793409,6.913833008166684,7.826811231187451,7.492178399125912,7.6974739595822275,7.798656182021273,7.917666522321474
2018-08-01,6.981241575286987,6.892337761019692,8.273764589776281,6.7974951759217035,7.799247581542506,7.493421280449116,7.662665327366347,7.7979565176292835,7.752634949755894
2018-09-01,6.980728453954719,6.949129143728049,8.223735967305776,6.758854141419383,7.814611869373121,7.494026283674523,7.534599230210242,7.874043823341247,7.651394907520301
2018-10-01,6.364900236484628,7.026284070333854,8.344848298911293,6.936632095846852,8.073548547499257,7.641642926572183,7.489170744355133,7.914998184915289,7.793038819716694
2018-11-01,7.585048678933679,7.185989212078142,9.268891776536458,7.459368265033741,9.0366723935276,8.386340237194247,8.30258506673676,8.502110052122363,8.619769183377354
2018-12-01,8.520918019050647,7.8088916885979875,10.158738990550663,8.320495122515252,10.082818370303,9.93522749380135,10.352603314856342,10.080428388456752,9.691570386150751
2019-01-01,7.869254830431199,8.029777762100252,9.70520641524482,8.42581069986532,10.717759814641187,10.692317750980584,10.056303600766947,10.17262179465057,10.046039924109067
2019-02-01,7.2049157955200975,8.671711506799264,8.846867955651486,8.40787387939825,10.022192682441815,10.359509424479974,8.321715278216553,9.654267787953284,9.869001526736774
2019-03-01,6.659414669292655,8.424539742175101,8.431211939193595,7.9436723643902125,10.015466674256007,10.136199441568154,8.911500783023303,8.787464234093232,9.48643544660213
2019-04-01,6.120596748481839,7.746163147296323,7.984655093656768,7.23718445330662,9.332169035744206,9.451378992194114,8.717527327880635,7.817469667872786,8.720869788507976
2019-05-01,5.5828271614179785,6.9415656573340305,7.831509868770349,6.890679243515398,8.68307102228233,8.8774598789119,8.350391293047831,7.49273739709591,7.77759720900638
2019-06-01,5.3355064761512345,6.791710977073796,7.706186242396831,6.734356705751889,8.37952928136243,8.796030940484732,8.157235389658974,7.677373524316449,7.261083504568517
2019-07-01,5.372001383503688,6.651021116682961,7.6699913142770075,6.941222410814652,8.263634963226687,8.688438837179438,8.006195359382566,7.761619581505669,6.7326154708095345
2019-08-01,5.675327706681807,6.690004270349113,7.695404015506928,7.099219560361904,8.20574425289104,8.480301511070072,7.990221954683576,7.578099681159174,6.633461166176405
2019-09-01,5.436087579445121,6.759883967509925,7.701693712578143,7.084668672752278,8.263348997634798,8.458794873786351,7.823157714536943,7.562354013152341,6.785897823992769
2019-10-01,5.570701626414712,7.154743122858782,7.937508553755946,7.347911380711228,8.5132879989762,8.330369443718608,7.817279514274259,7.754815653895293,7.01006580426903
2019-11-01,6.800354351072397,8.43117827563158,8.555405295878026,7.913604085106275,9.284315397618604,9.369211984642018,8.979554141538463,10.110844902142508,7.641532005743222
2019-12-01,7.948265885203866,9.054739877435896,10.506222883639296,8.74289219812287,10.41479337554982,10.789919812716555,11.239724792277837,11.472498917346075,9.07079806266429
2020-01-01,9.12321379149488,9.001063889430599,11.0387252103396,8.835070518743143,11.636460649697769,10.7164189659311,11.051486011257763,11.556121411628833,9.513334824272816
2020-02-01,9.275802973784485,8.751410665361481,10.901611444887598,8.562316918248017,12.273628781711867,10.160646839856158,11.0557557638056,11.389562807593641,9.299489453485526
2020-03-01,8.98108743045308,8.3179992548488,10.854830168150713,8.120243359732042,12.144542221778215,9.343337818521704,10.989617805419819,9.791903042514294,8.950330201032989
2020-04-01,8.354056450320712,7.1800307750723364,10.367443708246396,7.22074529863387,11.02157203937096,8.506393377866141,10.211885486280934,8.388953845438081,8.166536494764202
2020-05-01,7.8015177211921385,6.6092167369257275,9.98707676742009,6.6190294320032725,9.959161422227012,8.105500812029343,9.408292228432424,7.810005553327006,7.255706154104169
2020-06-01,7.531015069316709,6.5650221280386125,9.541801262363254,6.621527848301732,9.426330892260932,7.981462445061872,9.062063884022301,7.405682770359826,6.720772490599371
2020-07-01,7.135650938083259,6.604663075180107,9.367777416308833,6.532366877754493,9.036500016234122,7.961777344275607,8.676405457807286,7.322268031966357,6.534860379350032
2020-08-01,6.8857861701959955,6.664124998398732,9.29627133795726,6.617940382825402,8.872077262041607,8.04550273703738,8.604272659425938,7.270718310194175,6.341542030897692
2020-09-01,6.7693251827279415,6.7828288749035845,9.174442779151374,6.5984188905095325,8.822699020090983,7.916884319013735,8.492700403263214,7.13127307099236,6.55040695296727
2020-10-01,7.146361921395192,6.841358859976157,9.047948776240794,6.741684034782826,9.14398575180532,8.043623786485554,8.49836377660462,7.173167615528153,6.871351359562505
2020-11-01,7.673069066219697,7.763560360857763,9.515570759272206,7.315485990741617,9.781959020964523,9.00371969734971,9.148063316947542,7.993161948442117,7.892069151454315
