,YEAR,MONTH,SST
0,2016.0,1.0,
1,2016.0,2.0,
2,2016.0,3.0,
3,2016.0,4.0,
4,2016.0,5.0,
5,2016.0,6.0,
6,2016.0,7.0,
7,2016.0,8.0,
8,2016.0,9.0,
9,2016.0,10.0,13.003023983315794
10,2016.0,11.0,13.638725761773154
11,2016.0,12.0,10.980073065426748
12,2017.0,1.0,
13,2017.0,2.0,
14,2017.0,3.0,
15,2017.0,4.0,10.974024024024086
16,2017.0,5.0,12.296734130634752
17,2017.0,6.0,13.926923076923078
18,2017.0,7.0,13.164942528735642
19,2017.0,8.0,14.371961560203545
20,2017.0,9.0,13.753584229390704
21,2017.0,10.0,12.218407172995756
22,2017.0,11.0,11.64776890558956
23,2017.0,12.0,11.320238095238079
24,2018.0,1.0,
25,2018.0,2.0,
26,2018.0,3.0,9.469144144144154
27,2018.0,4.0,10.445696877380094
28,2018.0,5.0,13.095169672882927
29,2018.0,6.0,14.235653480220261
30,2018.0,7.0,13.822849837284984
31,2018.0,8.0,14.825871313672934
32,2018.0,9.0,14.550892448512611
33,2018.0,10.0,13.317452830188664
34,2018.0,11.0,11.874270353302562
35,2018.0,12.0,10.213407821229104
36,2019.0,1.0,
37,2019.0,2.0,
38,2019.0,3.0,
39,2019.0,4.0,
40,2019.0,5.0,
41,2019.0,6.0,
42,2019.0,7.0,
43,2019.0,8.0,
44,2019.0,9.0,
45,2019.0,10.0,13.437042532146354
46,2019.0,11.0,11.077268518518443
47,2019.0,12.0,9.74410966340928
